
qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_Gathering_support|모임 지원
qstr_Gathering_intelligen|{s66}에서 지적 모임
qstr_Ambassy_to_{s66}|{s66} 대사관
qstr_Minister|장관
qstr_none|없음
qstr_{s1}_{s2}^Reputation|{s1}, {s2}^평판: {s42}^태어난곳 {s43}^접촉한 곳 {s45}의 {s44}.^^{reg48?{s48}의 포로:}^마지막으로 대화한 기간: {reg49}^^현재 임무:^  {s50}{reg50?, {reg50}일 안에 복귀.:}
qstr_{s1}^|{s1}^
qstr__knows_of_you| 당신이 아는바
qstr_{s1}_wife_of_{s3}{re|{s1}, {s3}의 아내 {reg0?,{s60}:}
qstr_{s1}_{reg1?daughter_|{s1}, {reg1?딸:자녀} {s3}{reg4?, {s5}의 약혼자:}{reg0?,{s60}:}
qstr_{s3}_and_{s6}|{s3} 그리고 {s6}
qstr_{s1}{reg4?_son_of_{s|{s1}{reg4?, {s5}의 아들{reg1?,:{reg0?,:}}:}{reg1? 포로{reg0?,:}:}{reg0?{s60}:}
qstr_{s10}_{reg1?daughter|{s10}, {reg1?딸:자녀} {s3}{reg4?, {s5}의 약혼자:}{reg0?,{s60}:}
qstr_Messenger_{s65}| {s65} 전령
qstr_Envoy_{s65}|특사 {s65}
qstr_Consul_{s65}|집정관 (s65)
qstr_Legate_{s65}|교황 특사 {s65}
qstr_Missi_Dominici_{s65}|미스 도미니츠 {s65}
qstr_{s65}|{s65}
qstr_{s10}{reg0?__who{s60|{s10}{reg0? (누가{s60}):}
qstr_{s11}__{s61}_|{s11} ({s61})
qstr_{reg0}_silver_stags_|{reg0} 실버가 국고에 추가되었습니다.
qstr_{reg0}_silver_stags_r|{reg0} 실버가 국고에서 상실되었습니다.
qstr_{s1}_and_{s2}_have_e|{s1} 와 {s2} 는 연합을 형성하였습니다..
qstr_{s15}_complies_with_|{s16}의 공격으로 방위협정이 발동됨에 따라 {s15}는 새로운 연합을 형성하기로 하였습니다.
qstr_{s1}_and_{s2}_have_c|{s1}과 {s2}이(가) 서로 동맹을 체결했습니다.
qstr_{s1}_and_{s2}_have_co|{s1}과 {s2}이(가) 방위협정을 체결했습니다.
qstr_{s1}_and_{s2}_have_con|{s1}과 {s2}이(가) 무역협정을 체결했습니다.
qstr_you|당신
qstr_{s5}_patrol|{s5} 순찰
qstr_Transfer_to_{s5}|이동목표 {s5}
qstr_{s5}_scout|{s5} 정찰
qstr_.|.
qstr_^The_village_has_a_h|^마을에 {reg4}마리 가축이 있습니다.^
qstr_^The_village_has_{re|^마을에 {reg4}마리의 병약한 가축이 있습니다.^
qstr_^The_poor_villagers_|^가난한 마을이라 가축이 없습니다.^
qstr_^I_write_this_from_a|^근처 언덕에서 보니, 마을이 현재 습격당하고 있습니다.
qstr_^The_village_has_bee|^마을은 불타고 ^거주민들은 뿔뿔히 흩어졌습니다. 이곳에는 남아있는게 없으며^제가 남아 있을 필요도 없을듯 합니다 군주시여.
qstr_^and_food_for_{reg7}|^{reg7}일 버틸 수 있는 음식.
qstr_^|^
qstr_{s7}_{s6}|{s7} {s6},
qstr_The_following_lords_a|다음 군주가 이곳의 포로로 잡혀있음:^{s7}
qstr_I_am_aware_of_no_lor|이곳에 포로로 잡힌 군주는 없는 듯 합니다.
qstr_The_drink_in_{s21}_s|{s21}이 마신 것은 충분해 보입니다,^동료들은 떠나고 싶어하며.^가드들이 삼엄하게 경계하고 있어 저를 의심할까 겁이 납니다.
qstr_^Tonight_I_shall_tak|^오늘 밤 우리가 일찍이 논의 해온 그 작전을 펼 생각입니다.
qstr_^I_am_awaiting_furth|^저는 지시를 기다리고 있습니다. 군주시여.
qstr__day.| 일.
qstr__days.| 일.
qstr_My_lord_I_have_been_|군주시여, 저는 {s4}에서 {reg5}{s10}^{s12}^ 하고 있습니다.저는 {s4}가 {reg6} 의 {s3}{s5}{s8}{s13} 수비병들을 가지고 있음을 파악했습니다.
qstr_My_lord_I_have_been_i|군주시여, 저는 {s4}에서 하루 종일 대기하며 ^지시를 내려주길 기다리고 있습니다.
qstr_I_ve_no_idea_why_{s2|저는 잘 모르겠습니다. 왜 {s21}가 그런 짓을 했는지,^그러나 어느 비참한 농부로부터 그럴듯한 정보를 구할 수 있었습니다.
qstr_{s21}_should_be_asha|{s21}은 이 똥 같은 곳에 대해 매우 유감스러워 할겁니다.^ 거주민들은 모두 더럽고 구부정하며 비참한 몰골입니다.^저는 이곳에서 오줌 같은 에일을 마시며 생존해야만 했습니다.
qstr_Not_a_bad_place_to_s|에일을 끊기에 아주 좋은 곳이지요.^{s21}는 아주 지긋지긋한 인물입니다, 이곳엔 아무것도 없습니다.^그 어떤 흥미로운 점을 찾아볼 수 없습니다 .
qstr_{s21}_must_be_quite_|{s21}은 부를 쌓아야 할겁니다. 이곳이 첫 번째 장소라고 믿습니다^침대에서는  쥐와 벌레와 이가 득실 거리는 군요.^흠.
qstr_Wish_you_were_here_m|당신이 원하는 대로 이곳에 있습니다 나의 군주시여. 여자들은 통통하게 살이 올랐고^비싼 옷을 입고 있습니다. 분수에서는 와인이 흐르고^{s21}는 길바닥에 돈 칠을 해놓았군요.
qstr_{s2}{s1}_|{s2}{s1}, 
qstr__The_following_food_| 다음 식료품이 훼손되거나 약탈되었습니다: {s2}. 
qstr__A_mount_has_ran_off| 거산이 도망 갔다!!
qstr__Some_tools_have_bee| 일부 연장들이 망가졌습니다.
qstr__{reg3}| {reg3}
qstr_Debug:__fac_relation|Debug:  fac relation is friendly, player is faction leader
qstr_Debug:__fac_relation_|Debug:  fac relation is friendly, player is marshal
qstr_Debug:__fac_relation_i|Debug:  fac relation is friendly, player is lord or mercenary
qstr_Debug:__fac_relation_is|Debug:  fac relation is hostile faction
qstr_Debug:__fac_relation_is_|Debug:  fac relation is neutral faction
qstr_Debug:__fac_relation_is_f|Debug:  fac relation is friendly faction
qstr_My_good_friend_{s1}|나의 좋은 친구 {s1},
qstr_Greetings_{s1}|반갑습니다 {s1},
qstr__{s1}_| {s1} ,
qstr___Though_our_kingdom|  우리 왕국은 전쟁중입니다, 상호간의 이익이 될만한 일을 제안 할 수 있겠군요.
qstr___Though_I_am_no_fri|  나는 당신 왕국과 친분은 없지만, 상호간의 이익이 될만한 일을 제안 할 수 있겠군요.
qstr___In_the_spirit_of_b|  두 나라간의 유대 강화시키기 위해 이 편지를 보냅니다.
qstr___Though_I_am_not_we|  {s2}에서 나는 그리 유명하지 않습니다, 의사소통을 할만한  방법을 스스로 찾아봐야겠군요.
qstr___May_our_kingdoms_c|  우리 왕국은 지금의 연합관계가 계속되기를 바라고 있습니다.
qstr___Long_have_I_been_a|  저는 오랫동안 {s2}의 친구였습니다. 그러니 이 메시지를 꼭 읽어 주시기 바랍니다.
qstr_Excuse_me_Lady|실례합니다 레이디,
qstr___I_have_long_ponder|  나는 오랫동안 이 역설에 대해 고민해왔습니다 , 아마도 당신이 절 기쁘게 해줄 수 있을 것 같군요.
qstr_{s5}__You_should_be_|{s5}  당신은 계집애 같군.
qstr_{s1}_Whoremaster|{s1} 창녀군주,
qstr___I_have_recently_ma|  얼마전에 당신이 잘아는 사람과 친분을 만들었는데 말이지.
qstr_{s5}__Your_mother_is|{s5}  당신의 어머니는 아무렇게나 쓸 수 있는 구멍이더군, 오 선생, 게다가 그년은 금방 뿅 가버리더군.
qstr_Ser_Gizzardless|불알없는 선생,
qstr_{s5}__Boils_and_plag|{s5}  종기와 잡병들이 당신을 뒤덮고 있군, 무서워서 지려버리겠어. 당신의 영혼은 불쌍한 거위새끼 같군.
qstr__Lover_of_barnyard_a| 목장 동물과 떡치는 인간 같으니,
qstr_{s5}__What_a_slave_a|{s5}  어떤 노예를 세워놓고 대충 칼질이나 해본 주제에, 그래놓고 그걸 싸움이었다고 할 참이지.
qstr_Woman|기집애,
qstr__I_recall_how_femini| 난 네가 어렸을 때 얼마나 기집애 같았는지 기억한다고.
qstr_{s5}__What_a_maidenl|{s5}  어떤 기집애 같은 놈이 무장을 다 하고 있네.
qstr_Run_coward|도망가라 겁쟁이,
qstr__.| .
qstr_{s5}__Your_hearts_I_|{s5}  당신의 심장을 내 말 뒤꿈치로 찍어버리고 물렁한 뇌를 꺼내 드리블을 해보고 싶군.
qstr__Simpleton| 어이 얼간이,
qstr__I_despise_you.| 난 니놈이 싫어.
qstr_{s5}__Foul_spoken_co|{s5}  멍청한 겁쟁이, 맘껏 지껄여라, 내 검이 시비를 가려 줄거다.
qstr_Say_wall_eyed_slave|벽에다 대고 얘기하냐,
qstr_{s5}___Whither_would|{s5}   이런 악마 같은 면상이 있나?
qstr_{s5}__There_is_a_cer|{s5}  내 방식대로 움직여줄 군대가 있다. 그들을 제거하면 얼마나 받을 수 있을까?
qstr_{s5}__My_men_and_I_h|{s5}  내 부하들은 스스로도 까먹을 만큼 멀리 달려왔다. 뭔가 살만한 식량이 있다면 지불할 수 있을 거다.
qstr_{s5}_I_would_test_my|{s5} 수많은 검에 대항해서 나 스스로를 시험해왔습니다, 만일 당신에게 생각이 있다면. 친선 결투를 제안하죠, 다음 전투에서 더 많은 적을 베는데 도움이 될 겁니다.
qstr_{s5}_Your_renown_in_|{s5} 당신이 전투에서 싸우는 방식은 흥미롭다 들었지. 재미삼아 결투나 한번 해볼까?
qstr_{s5}_I_have_heard_yo|{s5} 당신이 몇몇 약골들을 쓰러트렸다는 건 들었지. 딱히 내게 무례하진 않지만. 서로 몸이나 풀 겸 결투나 해보는 게 어떨까.
qstr_{s5}__Please_except_|{s5}  당신의 여행에 도움이 될 선물을 받아주시오.
qstr___The_road_ahead_is_|  이 방향은 위험합니다, 그리고 나는 도움이 필요하죠. 제가  {reg16} 실버을 드리면 도움이 될는지.
qstr_{s5}__choice_5|{s5} 5선택
qstr_{s4}{s5}|{s4}{s5}
qstr_Ser_Errand_boy|심부름꾼 선생,
qstr___You_honour_me_with|  당신과 대화하는 것은 영광입니다.
qstr___I_have_considered_|  당신의 메시지를 주의 깊게 보았습니다, 총사령관, 그에 대한 답으로 제가 이곳에 있습니다.
qstr___I_have_considered_y|  당신의 부름에 답하기 위해 이곳에 왔습니다.
qstr___Though_our_kingdoms|  우리 왕국이 전쟁 중이지만 당신의 메시지에 답할 필요는 못 느끼겠더군.
qstr___Here_is_your_answe|  이것이 당신의 대답인가. 용병.
qstr___My_reply_to_your_m|  당신의 메시지에 대한 답변이 이것입니다.
qstr___My_reply_to_your_me|  당신의 메시지에 대한 답변이 이것이다, 용병.
qstr___May_our_kingdoms_g|  아마도 우리 왕국은 서로 소통하면 더 많은 번영을 할 수 있겠지.
qstr___You_have_proven_to|  당신은 {s2}의 친구임을 증명했소, 그러니 응당 답해야 하지.
qstr__I_am_unable_to_cons| 난 당신의 요구에 대해 고려할 필요성을 못 느끼겠소. 내겐 더 중요한 일들이 여러 가지 있거든.
qstr_{s5}__I_will_not_abi|{s5}  명예를 가장해서 나를 끌어들이려는 수작을 받아들일 수 없다, 네놈의 자비를 구하는 외침을 듣는 것에 만족하지.
qstr_{s5}__I_will_await_y|{s5} 나는 {s9}에서 기다리고 있다. 24시간 내에 오지 않으면 영원히 겁쟁이로 남게 될 것이다.
qstr_{s5}_Die_you_pompous|{s5} 죽어라 빌어먹을 똥구멍 같은놈! 끝장을 내러 왔다. 검을 보여라 네놈의 혀끝만큼 날카롭다면 말이지.
qstr_{s5}_Only_fools_and_|{s5} 오직 멍청이와 도둑놈들만이 남에 것을 탐내는 법이지!
qstr_{s5}_Do_not_ask_of_m|{s5} 당신과의 일을 논쟁할 생각은 버리라구. 더 이상 멍하게 있을 시간은 없으니까.
qstr_{s5}_Kill_a_few_peas|{s5} 농부를 죽이고 가축을 끌고오라구요? 그러도록 하죠.
qstr_{s5}_I_shall_lay_sie|{s5} 도시와 공성전을 벌일 겁니다, 다른 좋은 방법이 있는지 모르겠군요.
qstr_{s5}_I_shall_besiege|{s5} 당신의 명령대로 공성전에 돌입합니다, 그러나 저 견고한 벽을 넘을 수 있을지는 장담 못하겠군요.
qstr_{s5}_If_I_can_catch_|{s5} 만일 내가 그 겁쟁이를 잡으면, 그들을 내 칼에 담가 버릴겁니다, 그러나 제가 그들을 영원히 쫓아다닐 수 있을 거라 기대하진 마세요.
qstr_{s5}_It_is_good_to_m|{s5} 만나서 상의한다는 건 나쁘지 않은 일이오.
qstr_{s5}_It_would_be_les|{s5} 이런 명성도 없는 자와 결투하는 것은 내겐 불명예스러운 일이오. 아마도 당신이 좀더 무훈을 쌓고 나면 다시 이야기해볼 수도 있겠지.
qstr_{s5}_Yes_let_us_duel|{s5} 좋아.결투하자고. {s9}에서 24시간 안에 만나자.
qstr_{s5}_I_look_forward_|{s5} 진정한 싸움이 뭔지 가르쳐 줘야겠군. {s9}에서 안에 만나자. 결투에 응할 생각이라면 말이지
qstr_{s5}_Ha!_I_will_glad|{s5} 하! 머릿속을 들여다 보고 싶군. 말보다 몸으로 싸울 생각이 든다면, 용감한 이여. {s9} 근방에서 24시간 안에 만나자, 겁쟁이처럼 빼지 말라고.
qstr_{s5}__I_ll_have_none|{s5}  그런 독은 내게 전혀 쓸모 없다, 암살자.
qstr_{s5}__A_welcome_gift|{s5}  이 먼지구덩이에 오신 것을 환영합니다.
qstr_{s5}__I_ve_heard_of_|{s5}  당신의 비열한 행동에 대해 들었다. 누군가에게 독살당할 생각이 아니라면 조심하는게 좋을 거야.
qstr_{s5}__You_have_yet_t|{s5}  당신은 아직 신뢰받을 가치를 증명하지 못했소, 이 선물은 지금 받기엔 부적절 하군.
qstr___{s14}__has_discove|  {s14}는 와인에 독이 든 것을 발견했습니다! 당신의 독살시도는 실패했습니다.
qstr_{s5}__You_think_to_p|{s5}  날 독살하려 했군! 네 머리통을 쪼개서 무슨 생각인지 알아봐야겠다, 이 악마와 창녀의 자식같으니!
qstr__I_will_take_your_co| 당신의 돈을 받으면 최선을 다해 당신을 지킬 것이오. 허나 이것은 알고 계시길. 내 친구와 주군을 향에 검을 휘두르진 않을 거란 것을.
qstr_{s5}__choice_8|{s5} 8선택
qstr__{s5}_^^____________| {s5} ^^                                                            {s14} 
qstr__Reaper_of_peasants| 농부의 낫
qstr__Despised| 멸시
qstr__Disliked| 경멸
qstr__Untrusted| 불신
qstr__Indifferent| 무관심
qstr__Welcome_Guest| 손님으로 환영
qstr__Friend| 친구
qstr__Trusted_Friend| 신뢰할만한 친구
qstr__Hero| 영웅
qstr__The_Peoples_King| 민족의 왕
qstr__You_need_2_ponies_t| 당신의 마차에는 2 마리의 조랑말이 필요합니다!!
qstr__You_must_have_tools| 마차를 만들기 위해서는 가방에 연장이 있어야합니다!!
qstr_You_spent_{reg1}_exp|당신은 {reg1} 경험치를 소모했다.
qstr_{s9}^^^Level:_{reg3}|{s9}^^^레벨: {reg3}^HP: {reg2}%^사기: {reg4}
qstr_Morale:_{reg0}^^Orig|사기: {reg0}^^원래: {s21}
qstr_State:_Riding|상태: 승마
qstr_State:_On_foot|상태: 도보
qstr__{reg1}%| {reg1}%
qstr_{s1}^{reg2}|{s1}^{reg2}
qstr_{s1}^^{reg1}|{s1}^^{reg1}
qstr_While_working_in_the|광산에서 일하는 동안, 당신은 소금 자원을 발견하고 보상으로 받았습니다.
qstr_While_working_in_the_| 광산에서 일하는 동안, 당신은 철 자원을 발견하고 보상으로 받았습니다.
qstr_While_working_in_the_m| 광산에서 일하는 동안, 당신은 은 자원을 발견하고 보상으로 받았습니다.
qstr_While_working_in_the_mi| 광산에서 일하는 동안, 당신은 금 자원을 발견하고 보상으로 받았습니다.
qstr_While_working_in_the_min| 광산에서 일하는 동안, 당신은 희귀한 광물을 발견하고 보상으로 받았습니다..
qstr_While_working_in_the_mine| 광산에서 일하는 동안, 동굴이 조금 무너지는 탓에 경미한 부상을 입었습니다.
qstr_While_working_in_the_mine_| 광산에서 일하는 동안, 동굴이 무너지는 탓에 부상을 입었습니다.
qstr_While_working_in_the_mine_y| 광산에서 일하는 동안, 동굴이 무너지는 탓에 거의 죽을 뻔 했습니다.
qstr_While_working_in_the_mine_yo| 광산에서 일하는 동안, 동굴이 무너지는 탓에 당신의 부대가 다쳤습니다.
qstr_While_working_in_the_mine_a| 광산에서 일하는 동안, 동굴이 무너지는 탓에 당신의 부대가 큰 부상을 입었습니다.
qstr_Casualties:_{s8}|사상자:{s8}
qstr_While_working_in_the_mine_you|광산에서 일하는 동안, 동굴이 무너지는 탓에 당신은 죽을 뻔 했습니다.
qstr_While_working_in_the_q|광산에서 일하는 동안, 암석을 발견하고 보상을 받았습니다.
qstr_While_working_in_the_qu|광산에서 일하는 동안, 철을 발견하고 보상을 받았습니다.
qstr_While_working_in_the_qua|광산에서 일하는 동안, 은을 발견하고 보상을 받았습니다.
qstr_While_working_in_the_quar|광산에서 일하는 동안, 금을 발견하고 보상을 받았습니다.
qstr_While_working_in_the_quarr|광산에서 일하는 동안, 희귀한 광물을 발견하고 보상을 받았습니다.
qstr_While_working_in_the_quarry|광산에서 일하는 동안, 동굴에서 약간의 부상을 입었습니다
qstr_While_working_in_the_quarry_|광산에서 일하는 동안, 동굴에서 부상을 입었습니다
qstr_While_working_in_the_quarry_y|광산에서 일하는 동안, 동굴에서 거의 죽을 뻔 했습니다.
qstr_While_working_in_the_quarry_a|광산에서 일하는 동안, 동굴에서 당신의 부대가 큰 부상을 입었습니다.
qstr_{s21}_smiles_and_win|{s21}는 웃으며 윙크를 받아줍니다.^ {s21} 관계 2증가.
qstr_{s21}_rolls_their_ey|{s21}는 괴로운 표정을 지었습니다.
qstr_{s21}_did_not_unders|{s21}는 당신의 농담을 이해하지 못합니다.^ {s21} 관계 1하락.
qstr_{s21}_was_amused_by_|{s21}는 즐거워하는 듯하지만, 크게 웃지는 않습니다.^ {s21} 관계 2상승.
qstr_{s21}_thought_your_j|{s21}는 당신의 농담이 병신 같다고 생각합니다.^ {s21} 관계 2 감소.
qstr_{s21}_laughed_out_lo|{s21}는 당신의 농담을 듣고 미친 듯이 웃어대고 있습니다.^ {s21} 관계 4 상승.
qstr_{s21}_laughs_and_jum|{s21}는 웃겨서 팔짝 뜁니다.^ {s21} 관계 6상승.
qstr_{s21}_was_offended_b|{s21}는 당신의 농담에 화가 났습니다.^ {s21} 관계 10 하락. 카리스마 설득기술 필요
qstr_{s21}_did_not_find_y|{s21}는 웃지도 울지도 않습니다.^ {s21} 관계 1감소.
qstr_{s21}_smiles_and_tha|{s21}는 당신의 칭찬에 감사를 표합니다.^ {s21} 관계 증가 4.
qstr_{s21}_rolls_their_eye|{s21}는 어이없는 듯 눈동자가 흔들립니다.^ {s21} 관계 감소 2.
qstr_{s21}_blushes_notice|{s21}는 얼굴이 상기되었습니다. 당신의 칭찬에 감사를 표합니다.^ {s21} 관계 증가 6.
qstr_{s21}_smiles_very_fl|{s21}는 환하게 웃습니다.^ {s21} 관계 증가 6.
qstr_{s21}_was_offended_by|{s21}는 당신의 칭찬에 오히려 화가 났습니다.^{s21} 관계감소 15.
qstr_{s21}_pulls_their_ha|{s21}는 당신이 키스하기전에 손을 뺐습니다.^{s21} 관계 하락1.
qstr_{s21}_allows_you_to_|{s21}는 당신의 키스를 허락했지만 별 다른 반응ㅇ느 보이지 않습니다.^ {s21} 관계 증가 6.
qstr_{s21}_allows_you_to_k|{s21}는 키스를 허락했지만 역겨워하는 듯 합니다.^{s21} 관계 하락 2.
qstr_{s21}_blushes_noticea|{s21}는 붉게 상기되어 키스를 허락합니다.^{s21} 관계 증가 8.
qstr_With_eyes_closed_{s2|{s21}는 눈을 지긋이 감았습니다, 당신이 오랫동안 키스하도록 허락했습니다.^ {s21} 관계 증가 10.
qstr_{s21}_pulls_their_han|{s21}는 키스를 뿌리치고 당신을 후려칩니다.^ {s21} 관계 감소 4. 카리스마 설득 필요.
qstr_{s21}_holds_out_a_re|{s21}는 빠지며 꺼지라고 말합니다 .^ {s21} 관계 감소 4. 
qstr_{s21}_allows_you_to_ki|{s21}는 조금 불편해 보이지만 마지못해 허락합니다.^ {s21} 관계 8상승.
qstr_{s21}_pushes_you_awa|{s21}가 당신을 밀어내고 꺼지라고 소리칩니다 {s37} 홀로.^{s21} 관계4감소.
qstr_{s21}_blushes_noticeab|{s21}가 뺨을 붉힙니다.^관계 {s21} 10증가.
qstr_{s21}_laughs_and_blu|{s21}는 웃습니다. 얼굴이 상기된 것이 보입니다.^ {s21} 관계12증가.
qstr_{s21}_pushes_you_away|{s21}는 당신을 밀어내고 후려칩니다.^{s21} 관계 30 하락.
qstr_{s21}_allows_you_to_kis|{s21}은 키스를 허락합니다. {s37}는 불편해 보입니다.^ {s21}과 관계 10증가.
qstr_{s21}_laughs_and_all|{s21}는 웃으며 키스를 허락합니다. {s37} 홀로.^{s21} 과 관계 12증가.
qstr_{s21}_embraces_you_e|{s21}는 당신의 입맞춤에 당황합니다.  ^{s21}와 관계 12증가.
qstr_{s21}_embraces_you_en|{s21}는 당신에게 키스를 받고 크게 당황합니다, 오랬동안.^당신과 {s21}의 관계가 16상승합니다.
qstr_{s21}_holds_out_a_res|{s21}는 손을 빼고 돌아섭니다.^당신과 {s21}의 관계는 35하락 합니다.
qstr_As_you_go_to_grab_th|뒤에서 껴안자, {s21}가 뿌리치며 예의를 지키라고 소리 칩니다.^ 당신과 {s21}의 관계가 4하락합니다.
qstr_As_you_go_to_grab_the|뒤에서 껴안자, {s21}는 웃으면서 뿌리치고 행동을 조심하라고 타이릅니다.^당신고 {s21}의 관계가 10상승합니다.
qstr_As_you_go_to_grab_thei|뒤에서 껴안자, {s21}은 당신을 받아들입니다.^ 당신과 {s21}의 관계가 12상승합니다.
qstr_As_you_go_to_grab_their|뒤에서 껴안자, {s21}는 부드럽게 웃으며 당신이 행동을 조심하지 않으면 {s21}가 혼내줄 거라며 말합니다.^ 당신과 {s21}의 관계가 14상승합니다.
qstr_As_you_go_to_grab_their_|뒤에서 껴안자, {s21}는 살며시 웃습니다.^ 당신과 {s21}의 관계가 16상승합니다.
qstr_As_you_go_to_grab_their_b|뒤에서 껴안자, {s21}은 당신의 손을 뿌리치고 주먹을 날립니다.^ 당신과 {s21}의 관계가 35하락합니다. 관계를 더 향상시키거나 , 카리스마 혹은 설득기술을 높여야 합니다.
qstr_You_try_to_convince_|당신은 {s21}을 당신의 방으로 끌고가려 했지만, {s21}은 바쁘다며 거부합니다.^당신과 {s21}의 관계가 1하락합니다.
qstr_You_do_your_best_swe|당신은 달콤한 말로 {s21}를 꾀어내어 방으로 데려왔습니다.^불행하게도, {s21}는 두통이 심하다고 합니다.^당신과 {s21}의 관계는 변함이 없습니다.
qstr_You_do_your_best_swee|당신은 달콤한 말로 {s21}를 꾀어내어 방으로 데려왔습니다. ^불행하게도, {s21}은 지쳐 잠들었습니다.^당신과 {s21}의 관계가 2하락합니다.
qstr_You_do_your_best_sweet|말빨로 {s21}를 꾀어내어 방으로 데려왔습니다.^{s21}는 당신의 행동에 감명받았습니다, 그러나 {s21}는 몇 일 뒤에 하자고 말합니다.^ 당신과 {s21} 와의 관계가 6상승합니다.
qstr_You_do_your_best_sweet_|당신은 달콤한 말로 {s21}를 꾀어내어 방으로 데려가는 것에 성공했습니다.^{s21}가 당신에게 키스합니다. 당황스럽게도 그녀는 본편은 다음에 하자고 말합니다. ^당신과 {s21}의 관계가 3상승합니다.
qstr_You_do_your_best_sweet_t|당신은 달콤한 말로 {s21}를 꾀어내어 방으로 데려가 말로 설명할 수 없는 온갖 행위를 다 해봤습니다.^그야말로 {s21}과 함께 신나게 뒹굴었습니다! 오늘은 당신의 날입니다. ^당신과 {s21}의 관계가 50상승합니다.
qstr_You_try_to_convince_{|당신은 {s21}을 어떻게 해보려 했지만, {s21}이 거절했습니다. {s21}은 당신을 한대 먹였습니다.^ {s21}와의 관계가 35하락합니다. 관계를 더 향상시키거나 , 카리스마 혹은 설득기술을 높여야 합니다.
qstr_Stormlands|스톰랜드(렌리 세력)
qstr_Westerlands|웨스터랜드(라니스터 가문)
qstr_Northmen|북부(스타크 가문)
qstr_Ironborn|강철 군도(그레이조이 가문)
qstr_Dornish|도른(마르텔 가문)
qstr_Mercenaries|용병 부대
qstr_Outlaws|무법자
qstr_Others|이방인
qstr_The_Nights_Watch|나이트 워치
qstr_Dothraki|도트라키 부족
qstr_Free_Citizens|자유 시민
qstr_ranks|횡렬
qstr_shield_wall|방패벽
qstr_wedge|산개
qstr_square|사각
qstr_up|위로
qstr_Division_{reg1}_{s2}|분대 {reg1} {s2}, 대형 형성 {s1}.
qstr_Not_enough_troops_in|분대 {reg1} {s2}은(는) {s1} 대형을 형성하기에는 인원이 부족합니다.
qstr_Division_{reg1}_{s2}_|분대 {reg1} {s2}은(는) {s3} 분대라서 {s1} 대형을 형성할 수 없습니다.
qstr_{s1}:_infantry_forma|{s1}: 보병 대형이 해체되었습니다.
qstr_{s1}:_archer_formati|{s1}: 궁병 대형이 해체되었습니다.
qstr_{s1}:_skirmisher_for|{s1}: 척후병 대형이 해체되었습니다.
qstr_{s1}:_cavalry_format|{s1}: 기병 대형이 해체되었습니다.
qstr_{s1}:_formation_disa|{s1}: 대형이 해체되었습니다.
qstr_Cavalry_formation_di|기병 대형이 해체되었습니다.
qstr_The_placement_of_{s1|{s1}에게 {reg0} 대형을 형성하도록 훈련시켰습니다.
qstr_The_placement_of_{s1}|{s1}에게 {reg0}을(를) 기본적으로 형성하도록 했습니다.
qstr_Your_party_s_tactica|당신의 부대의 전략 기술이 낮기 때문에, 부대를 전개할 수 없습니다!
qstr_...and_attack_enemy_|...{s1}은(는) 적을 공격하라!
qstr_{s2}:_returning_afte|{s2}: {s1}은(는) 적을 와해시킨 뒤 돌아와라!
qstr_infantry|보병
qstr_archer|궁병
qstr_cavalry|기병
qstr_polearm|창병
qstr_skirmisher|척후병
qstr_mounted_archer|기마궁병
qstr_support|지원
qstr_bodyguard|호위병
qstr_undetermined_type_of|미지정한 유형
qstr_Lame|절름발이
qstr_Swaybacked|등 굽은
qstr_Timid|겁쟁이
qstr_Meek|온순한
qstr_Stubborn|고집센
qstr_Heavy|무거운
qstr_Spirited|활발한
qstr_Champion|챔피언
qstr_Cracked|금이간
qstr_Battered|낡은
qstr_Thick|두꺼운
qstr_Reinforced|강화된
qstr_Rusty|녹슨
qstr_Tattered|누더기
qstr_Ragged|해진
qstr_Crude|대충 만든
qstr_Sturdy|견고한
qstr_Hardened|단단한
qstr_Lordly|위엄있는
qstr_Broken|깨진
qstr_Bent|구부러진
qstr_Chipped|파손된
qstr_Strong|튼튼한
qstr_Balanced|균형잡힌
qstr_Tempered|단련된
qstr_Masterwork|명공의
qstr_Large_Bag_of|대량의
qstr_Hold|유지해라
qstr_{s1}_x{reg0}|{s1} x{reg0}
qstr_Hold_Fire|사격 금지
qstr_Fire_at_Will|사격 개시
qstr_Use_Shield|방패 사용
qstr_Back_10_Paces|10보 뒤로
qstr_One_Handed_Weapons|한손 무기
qstr_Two_Handed_Weapons|양손 무기
qstr_Ranged_Weapons|원거리 무기
qstr_{s2}^{s1}|{s2}^{s1}
qstr_No_Position_Orders|대형 명령 없음
qstr_No_Weapons_Orders|무기 명령 없음
qstr_DEBUG_:_Weather_pena|디버그 : 날씨 벌칙 {reg2} % - {s0} : {reg0}에서 {reg1}
qstr_DEBUG_:_{s0}_profici|디버그 : {s0} 숙련도가 {reg1}에 복원되었습니다.
qstr_#|#
qstr_{s0}{s1}|{s0}{s1}
qstr_{s0}^>_{s1}__{s2}__{|{s0}^> {s1}, '{s2}', {s3}, {s4}
qstr_You_have_lost_the_tr|상인들 없이 상륙하였기 때문에 그들을 잃었습니다.
qstr_You_have_lost_the_tra|상인들 없이 출항하였기 때문에 그들을 잃었습니다.
qstr_vWaveInfo|vWaveInfo
qstr_vWaveOrigin|vWaveOrigin
qstr_vTimer|vTimer
