
ip_morale|사기
ip_AWoIaF_formations_text|진형 : 배틀에서 F4와 함께 활성화 된 상태 : ^ F4 - 폼 등급 - 앞쪽 병력이 가장 많은 것, ^ F7 - 정사각형 - 특별한 순서 없음, ^ F5 - 형태 방어벽 - 앞면에 방패가 있고 뒤쪽에 더 긴 무기가 있습니다. ^ F6 - 폼 쐐기 - 가장 좋은 병력을 앞세운 채로, ^ F8 - 현재의 모든 포메이션을 끊어 라, ^^ - 형성 안함 ^^ 마지막 경우에도 플레이어는 스탠드 클로즈 (Stand Closer)를 충분히 주문하여 최대 네 줄을 구성 할 수 있습니다. ^ Fight - 플레이어와 포메이션에 상대적인 위치를 기억하십시오. ^ F8 - 플레이어와 포메이션에 상대적인 기본 위치로 되돌립니다. ^^ 주문 : 전투에서 F5로 활성화 된 후, 다음과 같이 진행합니다. : ^ F5 또는 키 Z - '한손 무기 사용', ^ F6 또는 키 T '두 손과 장대 무기 사용', ^ F7 또는 키 N - '원거리 무기 사용', ^ F8 또는 키 O - 방패를 사용하지 마세요. ^^ Hold-F1을 적 부대에 추가하십시오. 그리고 선택한 부대가 공격을 할 것입니다. ^^ 기타 : ^ 키 U - Battlecry (상처 입은 병사를 격려하십시오) - 필요합니다 ^ 자연의 리더 특성을 가지려면 ^ 키 B - 워 크라이 (당신을 둘러싼 적들을 겁 먹으십시오) - '워리어 (Warrior)'특성이 있어야합니다 ^ 키 T - 파이어 화살표를 사용하십시오. 포위 공격과 배 전투에만 사용됨), ^ 키 H - 전투에서 말을 불러올 때 사용합니다. ^ 키 F6 - 전투 순서가 충돌합니다 (적군이 접근하는 군대는 적을 접근합니다) ^ 키 F9 - 시작 또는 종료 명령 발사체 발사, ^ 마우스 오른쪽 버튼 클릭 + 왼쪽 클릭 - 실드 배쉬.
ip_dog_companion|늑대 동료
ip_dog_companion_text|전장에서 늑대를 9번 구역에 배치합니다. 늑대 동료의 기술과 능력은 늑대에게 좋은 음식을 주면 향상될 수 있습니다.
ip_quarters|은신처
ip_quarters_text|은신처는 당신이 당신의 병사 일부를 월드맵의 특정 위치에 남겨둘 수 있도록 해줍니다. 당신은 최대 두개의 은신처를 가질 수 있습니다.^^은신처가 유용하게 사용할 수 있는 상황은 다음과 같습니다.^- 당신이 배를 타고 여행을 해야 하는 상황에서 당신의 모든 군대를 운반할 충분한 돈이 없는 경우.^- 당신의 함대가 당신의 군대를 한 번에 옮길 만큼 선적 인원이 많지 않을 경우.^- 도시에 몰래 들어가야 하는 경우.^- 월드맵을 더 빨리 이동해야 할 필요가 있는 경우.
ip_special_troops|특별한 병종
ip_special_troops_text|There are various special troops in A World of Ice and Fire that allow you to reap extra stats depending on the amount you have in your party.^^Below you can see the number needed:^Hornmen^1+ = + 1 tactics^10+ = + 2 tactics^30+ = + 3 tactics^Standard Bearers^1+ = + 1 leadership^10+ = + 2 leadership^30+ = + 3 leadership^Religious Troops^1+ = + 1 surgery^10+ = + 2 surgery^30+ = + 3 surgery^Vet Ironborn Reaver^5+ = + 1 looting^10+ = + 2 looting^40+ = + 3 looting^Shepherd^1+ = + 1 foraging^10+ = + 2 foraging^30+ = + 3 foraging^Unsullied^10+ = + 1 tactics^30+ = + 2 tactics^100+ = + 3 tactics^Spy^5+ = + 1 spotting^10+ = + 2 spotting
ip_wiki_and_forums|얼음과 불의 세계의 Wiki와 Forums
ip_wiki_and_forums_text|이 모듈에 대한 자세한 정보는 위키와 포럼을 방문하는 것을 잊지 마십시오 ^- Forums: http://aworldoficeandfire.co.uk/Forums/index.php^- Wiki: http://aworldoficeandfire.co.uk/wiki/index.php?title=Main Page^- Patreon Page: https://www.patreon.com/awoiaf^- ModDB Page: http://www.moddb.com/mods/a-world-of-ice-and-fire
ip_credits|크레딧
ip_credits_text|크레딧 전체 목록을 보려면 http://aworldoficeandfire.co.uk/Forums/index.php?topic=8.0 을 방문하십시오.
