dlga_start:close_window.1|{s3}
dlga_dplmc_constable_patrol_confirm_ask:dplmc_constable_patrol_confirm|Do you really want to send a {s8} patrol to {s9}?
dlga_dplmc_constable_patrol_confirm:dplmc_constable_pretalk|Yes.
dlga_dplmc_constable_patrol_confirm:dplmc_constable_pretalk.1|No.
dlga_dplmc_constable_security:dplmc_constable_patrol_change_ask|I want to change the target of a patrol.
dlga_dplmc_constable_patrol_change_ask:dplmc_constable_patrol_change|Which patrol should change the target?
dlga_dplmc_constable_patrol_change:dplmc_constable_security_ask|None.
dlga_dplmc_constable_patrol_change_target_ask:dplmc_constable_patrol_change_target|Where do you want to send it?
dlga_dplmc_constable_patrol_change_target:dplmc_constable_security_ask|Nowhere.
dlga_dplmc_constable_patrol_change_target_confirm_ask:dplmc_constable_patrol_change_target_confirm|As you wish, I will send a messenger carrying the orders to patrol {s6} to the {s5}.
dlga_dplmc_constable_patrol_change_target_confirm:dplmc_constable_security_ask|Thank you.
dlga_dplmc_constable_patrol_change_target_confirm:dplmc_constable_security_ask.1|Oh maybe not.
dlga_dplmc_constable_security:dplmc_constable_patrol_to_center_ask|I want a patrol to return to a center.
dlga_dplmc_constable_patrol_to_center_ask:dplmc_constable_patrol_to_center|Which patrol should move to a center?
dlga_dplmc_constable_patrol_to_center:dplmc_constable_security_ask|None.
dlga_dplmc_constable_patrol_to_center_target_ask:dplmc_constable_patrol_to_center_target|Where do you want to send it?
dlga_dplmc_constable_patrol_to_center_target:dplmc_constable_security_ask|Nowhere.
dlga_dplmc_constable_patrol_change_to_center_confirm_ask:dplmc_constable_patrol_to_center_confirm|As you wish, I will send a messenger carrying the orders to move to {s6} to the {s5}.
dlga_dplmc_constable_patrol_to_center_confirm:dplmc_constable_security_ask|Thank you.
dlga_dplmc_constable_patrol_to_center_confirm:dplmc_constable_security_ask.1|Oh maybe not.
dlga_dplmc_constable_security:dplmc_constable_patrol_disband_ask|I want to disband a patrol.
dlga_dplmc_constable_patrol_disband_ask:dplmc_constable_patrol_disband|Which patrol do you want to disband?
dlga_dplmc_constable_patrol_disband:dplmc_constable_pretalk|None.
dlga_dplmc_constable_patrol_disband_confirm_ask:dplmc_constable_patrol_disband_confirm|As you wish, I will send a messenger who will tell {s5} to disband.
dlga_dplmc_constable_patrol_disband_confirm:dplmc_constable_security_ask|Thank you.
dlga_dplmc_constable_patrol_disband_confirm:dplmc_constable_security_ask.1|No.
dlga_dplmc_constable_security:dplmc_constable_pretalk|Nevermind.
dlga_dplmc_constable_talk:dplmc_constable_prisoner|I have some prisoners can you sell them for me?
dlga_dplmc_constable_prisoner:dplmc_constable_pretalk|Of course, Sire
dlga_dplmc_constable_talk:dplmc_constable_dismiss_confirm_ask|You are dismissed.
dlga_dplmc_constable_dismiss_confirm_ask:dplmc_constable_dismiss_confirm|Are you sure that you don't need me anymore?
dlga_dplmc_constable_dismiss_confirm:dplmc_constable_dismiss_confirm_yes|Yes I am.
dlga_dplmc_constable_dismiss_confirm_yes:close_window|As you wish.
dlga_dplmc_constable_dismiss_confirm:dplmc_constable_pretalk|No I am not.
dlga_dplmc_constable_talk:close_window|Thank you, I will come back to you later.
dlga_start:dplmc_chamberlain_talk|Yes, Sire?
dlga_dplmc_chamberlain_pretalk:dplmc_chamberlain_talk|Anything else, Sire?
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_overview|Please give me a report about the financial affairs.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_treasury|Let us inspect the treasury.
dlga_dplmc_chamberlain_treasury:dplmc_chamberlain_treasury_action|There are currently {s4} aurums in the treasury of this fief and we have {s6} debts. What do you want to do?
dlga_dplmc_chamberlain_treasury_action:dplmc_chamberlain_pretalk|Thank you, let's talk about something else.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_status|Please give me a status report about the financial situation of a fief.
dlga_dplmc_chamberlain_status:dplmc_chamberlain_status_select_fief|About which fief do you like to be informed?
dlga_dplmc_chamberlain_status_select_fief:dplmc_chamberlain_pretalk|Never mind.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_tax|I wish to change the tax rate for a fief.
dlga_dplmc_chamberlain_tax:dplmc_chamberlain_tax_select_center|For which fief?
dlga_dplmc_chamberlain_tax_select_center:dplmc_chamberlain_pretalk|Never mind.
dlga_dplmc_chamberlain_tax_ask_rate:dplmc_chamberlain_tax_select_rate|How high do you want to set the tax rate for {s6}?
dlga_dplmc_chamberlain_tax_select_rate:dplmc_chamberlain_tax_ask_confirm|Very low.
dlga_dplmc_chamberlain_tax_select_rate:dplmc_chamberlain_tax_ask_confirm.1|Low.
dlga_dplmc_chamberlain_tax_select_rate:dplmc_chamberlain_tax_ask_confirm.2|Normal.
dlga_dplmc_chamberlain_tax_select_rate:dplmc_chamberlain_tax_ask_confirm.3|High.
dlga_dplmc_chamberlain_tax_select_rate:dplmc_chamberlain_tax_ask_confirm.4|Very High.
dlga_dplmc_chamberlain_tax_select_rate:dplmc_chamberlain_pretalk|Never mind.
dlga_dplmc_chamberlain_tax_ask_confirm:dplmc_chamberlain_tax_confirm|Do you really want to set the tax rate for {s6} to {s11}?
dlga_dplmc_chamberlain_tax_confirm:dplmc_chamberlain_pretalk|Yes.
dlga_dplmc_chamberlain_tax_confirm:dplmc_chamberlain_pretalk.1|No I changed, my mind.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_manage_fiefs|I would like to manage fief improvements.
dlga_dplmc_chamberlain_manage_fiefs:dplmc_chamberlain_manage_fiefs_options|We are currently have {reg0} improvements in {reg1} of your {reg2} fiefs. Do you want to build another one?
dlga_dplmc_chamberlain_manage_fiefs_options:dplmc_chamberlain_manage_fiefs_build|Yes, I want to build an improvement.
dlga_dplmc_chamberlain_manage_fiefs_options:dplmc_chamberlain_pretalk|No.
dlga_dplmc_chamberlain_manage_fiefs_build:dplmc_chamberlain_manage_fiefs_build_location|Where do you want to build an improvement?
dlga_dplmc_chamberlain_manage_fiefs_build_location:dplmc_chamberlain_manage_fiefs_build_ask|{s2}.
dlga_dplmc_chamberlain_manage_fiefs_build_location:dplmc_chamberlain_pretalk|Nowhere.
dlga_dplmc_chamberlain_manage_fiefs_build_ask:dplmc_chamberlain_pretalk|{s19}  You are currently building {s7}. The building will be completed after {reg8} day{reg9?s:}. We have to wait until it's finished.
dlga_dplmc_chamberlain_manage_fiefs_build_ask:dplmc_chamberlain_manage_fiefs_build_ask2|{s19}  What do you want to build?
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask|Build a manor.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.1|Build a mill.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.2|Build a watch tower.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.3|Build a school.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.4|Build a messenger post.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.5|Build a prisoner tower.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.6|Build a palisade.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.7|Build a caltrops.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.8|Build a guild hall.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.9|Build a university.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.10|Build a blacksmith forge.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.11|Build a caravan escort.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.12|Build a festival square.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.13|Build a bookstore.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_pretalk|Nothing.
dlga_dplmc_chamberlain_manage_fiefs_build_confirm_ask:dplmc_chamberlain_manage_fiefs_confirm|Are you sure that you want to build a {s4} for {reg5} in {s2}? It will take {reg6} days. We currently have {reg7} aurums in the treasury.
dlga_dplmc_chamberlain_manage_fiefs_confirm:dplmc_chamberlain_pretalk|Yes.
dlga_dplmc_chamberlain_manage_fiefs_confirm:dplmc_chamberlain_pretalk.1|No, I don't have the money.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_pools_ask|I would like to manage the {reg0?household and secondary storage:household}.
dlga_dplmc_chamberlain_pools_ask:dplmc_chamberlain_pools|What do you want to do?
dlga_dplmc_chamberlain_pools:dplmc_chamberlain_pretalk|I would like to manage the goods in secondary storage.
dlga_dplmc_chamberlain_pools:dplmc_chamberlain_item_pool|Let my companions take the items out of the item pool.
dlga_dplmc_chamberlain_item_pool:dplmc_chamberlain_item_pool_confirm|Are you sure you wish to do this?
dlga_dplmc_chamberlain_item_pool_confirm:dplmc_chamberlain_pretalk|Yes.
dlga_dplmc_chamberlain_item_pool_confirm:dplmc_chamberlain_pretalk.1|No I changed, my mind.
dlga_dplmc_chamberlain_pools:dplmc_chamberlain_pretalk.1|I would like to manage the household.
dlga_dplmc_chamberlain_pools:dplmc_chamberlain_pretalk.2|Nevermind.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_dismiss_confirm_ask|You are dismissed.
dlga_dplmc_chamberlain_dismiss_confirm_ask:dplmc_chamberlain_dismiss_confirm|Are you sure that you want to handle all financial affairs by yourself?
dlga_dplmc_chamberlain_dismiss_confirm:dplmc_chamberlain_dismiss_confirm_yes|Yes I am.
dlga_dplmc_chamberlain_dismiss_confirm:dplmc_chamberlain_pretalk|No I am not.
dlga_dplmc_chamberlain_dismiss_confirm_yes:close_window|As you wish. Let's go through the documents and hand over your estate.
dlga_dplmc_chamberlain_talk:close_window|Oh nothing, I just wanted to check the documents.
dlga_spouse_talk:dplmc_spouse_staff_talk_ask|I want to hire a new staff member.
dlga_dplmc_spouse_staff_talk_ask:dplmc_talk_staff|What sort of staff member would you like to hire?
dlga_dplmc_talk_staff:dplmc_talk_appoint_constable|I want to appoint a constable.
dlga_dplmc_talk_appoint_constable:dplmc_talk_appoint_constable_confirm|I assume you will want to rehire your former constable Miles de Gloucester?  His rate is still 15 aurums each week, and the appointment will cost us 20 aurums.
dlga_dplmc_talk_appoint_constable:dplmc_talk_appoint_constable_confirm.1|I have heard good things about a local nobleman by the name of Miles de Gloucester, and I believe he would be well-suited for the job. He demands 15 aurums each week, though. The appointment will cost us 20 aurums.
dlga_dplmc_talk_appoint_constable:dplmc_talk_appoint_constable_confirm.2|That's a wise idea. May I suggest a very capable nobleman and friend of my family? His name is Miles de Gloucester. He demands 15 aurums each week, though. The appointment will cost us 20 aurums.
dlga_dplmc_talk_appoint_constable_confirm:dplmc_talk_appoint_confirm_yes|So be it.
dlga_dplmc_talk_appoint_constable_confirm:spouse_pretalk|Maybe later.
dlga_dplmc_talk_appoint_constable_confirm:minister_pretalk|Maybe later.
dlga_dplmc_talk_appoint_confirm_yes:spouse_pretalk|I will send him a letter he should arrive at the court soon.
dlga_dplmc_talk_appoint_confirm_yes:minister_pretalk|I will send him a letter he should arrive at the court soon.
dlga_dplmc_talk_staff:dplmc_talk_appoint_chamberlain|I want to appoint a chamberlain to handle financial affairs.
dlga_dplmc_talk_appoint_chamberlain:dplmc_talk_appoint_chamberlain_confirm|I assume you will want to rehire your former chamberlain Aubrey de Vere?  His rate is still 15 aurums each week, and the appointment will cost us 20 aurums.
dlga_dplmc_talk_appoint_chamberlain:dplmc_talk_appoint_chamberlain_confirm.1|I have heard good things about a local nobleman by the name of Aubrey de Vere, and I believe he would be well-suited for the job. He demands 15 aurums each week, though. The appointment will cost us 20 aurums.
dlga_dplmc_talk_appoint_chamberlain:dplmc_talk_appoint_chamberlain_confirm.2|That's a wise idea. May I suggest a very capable nobleman and friend of my family? His name is Aubrey de Vere. He demands 15 aurums each week, though. The appointment will cost us 20 aurums.
dlga_dplmc_talk_appoint_chamberlain_confirm:dplmc_talk_appoint_confirm_yes|So be it.
dlga_dplmc_talk_appoint_chamberlain_confirm:spouse_pretalk|Maybe later.
dlga_dplmc_talk_appoint_chamberlain_confirm:minister_pretalk|Maybe later.
dlga_dplmc_talk_staff:dplmc_talk_appoint_chancellor|I want to appoint a chancellor.
dlga_dplmc_talk_appoint_chancellor:dplmc_talk_appoint_chancellor_confirm|I assume you will want to rehire your former chancellor Herfast?  His rate is still 20 aurums each week, and the appointment will cost us 20 aurums.
dlga_dplmc_talk_appoint_chancellor:dplmc_talk_appoint_chancellor_confirm.1|I have heard good things about a local nobleman by the name of Herfast, and I believe he would be well-suited for the job. He demands 20 aurums each week, though. The appointment will cost us 20 aurums.
dlga_dplmc_talk_appoint_chancellor:dplmc_talk_appoint_chancellor_confirm.2|That's a wise idea. May I suggest a very capable nobleman and friend of my family? His name is Herfast. He demands 20 aurums each week, though. The appointment will cost us 20 aurums.
dlga_dplmc_talk_appoint_chancellor_confirm:dplmc_talk_appoint_confirm_yes|So be it.
dlga_dplmc_talk_appoint_chancellor_confirm:spouse_pretalk|Maybe later.
dlga_dplmc_talk_appoint_chancellor_confirm:minister_pretalk|Maybe later.
dlga_dplmc_talk_staff:minister_pretalk|None.
dlga_dplmc_talk_staff:spouse_pretalk|None.
dlga_spouse_talk:dplmc_spouse_talk_buy_food_amount_ask|Can you please buy some bread?
dlga_dplmc_spouse_talk_buy_food_amount_ask:dplmc_spouse_talk_buy_food_amount|How much bread do you want?
dlga_dplmc_spouse_talk_buy_food_amount:spouse_pretalk|Nothing.
dlga_dplmc_spouse_talk_buy_food:dplmc_spouse_talk_buy_food_confirm|Yes of course, I will go to the merchant in {s6} and buy some bread. This will cost us {reg0} aurums.
dlga_dplmc_spouse_talk_buy_food:spouse_pretalk|Currently no merchant has enough bread. We have to wait.
dlga_dplmc_spouse_talk_buy_food_confirm:close_window|Ok, we can afford that, please go. Thank you.
dlga_dplmc_spouse_talk_buy_food_confirm:close_window.1|Oh, maybe later.
dlga_minister_talk:dplmc_minister_staff_talk_ask|I want to hire a new staff member.
dlga_dplmc_minister_staff_talk_ask:dplmc_talk_staff|What sort of staff member would you like to hire?
dlga_lord_talk:dplmc_lord_give_back_fief|{s66}, I want to give up a fief you enfeoffed to me.
dlga_dplmc_lord_give_back_fief:dplmc_lord_give_back_fief_select|Oh, so you can't manage it? Well, which fief do you have in mind?
dlga_dplmc_lord_give_back_fief_select:lord_pretalk|Never mind.
dlga_dplmc_lord_give_back_fief_confirm_ask:dplmc_lord_give_back_fief_confirm|So you think you can't fulfill your promise and manage {s11}?
dlga_dplmc_lord_give_back_fief_confirm:lord_pretalk|Yes I want to give up on {s11}.
dlga_dplmc_lord_give_back_fief_confirm:lord_pretalk.1|No, I will keep the promise.
dlga_lord_talk:dplmc_lord_declare_war|{s66}, you should declare war on a kingdom.
dlga_dplmc_lord_declare_war:close_window|How can you dare? Who do you think you are? Get out of my sight!
dlga_dplmc_lord_declare_war:dplmc_lord_declare_war_kingdoms_select|Against whom?
dlga_dplmc_lord_declare_war_kingdoms_select:dplmc_lord_declare_war_ask_why|{s11}
dlga_dplmc_lord_declare_war_kingdoms_select:lord_pretalk|Never mind
dlga_dplmc_lord_declare_war_ask_why:dplmc_lord_declare_war_why|Why should I declare war against the {s11}?
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else|They are weaker and we can easily beat them.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else.1|We can't tolerate their provocations any longer.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else.2|They are already in war and currently distracted.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else.3|It's the right time to attack.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else.4|We should get back our lost land.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_decision|I mentioned all reasons for war. Please think about it!
dlga_dplmc_lord_declare_war_why:lord_pretalk|I need to think about that in peace and quiet.
dlga_dplmc_lord_declare_war_anything_else:dplmc_lord_declare_war_why|Well, anything else?
dlga_dplmc_lord_declare_war_decision:close_window|Gird your {s0} we are going to war against {s11}.
dlga_dplmc_lord_declare_war_decision:close_window.1|No, I am not convinced. We won't attack {s11}.
dlga_lord_talk_ask_something_2:dplmc_lord_family_affiliate_end|I have done my share with your family, I want to be discharged of my pledge.
dlga_dplmc_lord_family_affiliate_end:script_dplmc_affiliate_confirm|What did you say?.
dlga_script_dplmc_affiliate_confirm:dplmc_lord_family_affiliate_leave|I do not want to be related to your house anymore.
dlga_script_dplmc_affiliate_confirm:lord_pretalk|Oh nothing.
dlga_dplmc_lord_family_affiliate_leave:close_window|You dare stand and face me to declaim your disavowal ! Well, your betrayal cannot make up for frankness. You disappoint the confidence my clan have put in you, {playername}. Each will condemn you in all conscience... but since I avouched your phoney allegiance, I will personally report to the Perisno noblemen about your frivolous plot.
dlga_lord_talk_ask_something_2:dplmc_lord_family_affiliate|I have great respect for your lineage, I wish to be affiliated to your family.
dlga_dplmc_lord_family_affiliate:lord_pretalk|I {reg0?like you well enough:have nothing against you}, but I just don't think it would work out, so I will not sponsor you.
dlga_dplmc_lord_family_affiliate:lord_pretalk.1|Not a chance. Since I dislike you, I will not sponsor you.
dlga_dplmc_lord_family_affiliate_response:dplmc_lord_family_affiliate_persuasion|Please Sire, let me serve your family.
dlga_dplmc_lord_family_affiliate_response:lord_pretalk|On second thought, I have to reconsider this decision.
dlga_dplmc_lord_family_affiliate_persuasion:lord_pretalk|Maybe I have not good enough appraisal from my family about you. Or maybe I just need some time to get used to the idea. Let's talk further about it next week.
dlga_dplmc_lord_family_affiliate_thank:dplmc_lord_family_affiliate_conclusion|I am honored and grateful to be affiliated with your family.
dlga_dplmc_lord_family_affiliate_conclusion:lord_pretalk|You have pledged allegiance to our family, now all of my brethen are your brethren. Our fellowship is about knighthood : Never betray your family, always protect it.
dlga_spouse_talk:dplmc_spouse_move_residence_ask|I want to move our residence.
dlga_dplmc_spouse_move_residence_ask:dplmc_spouse_move_residence_tools|To move our residence will require a small refurbishment. In particular, we need a set of tools and two piles of wool cloth in our househould.
dlga_dplmc_spouse_move_residence_tools:dplmc_spouse_move_residence_select_ask|Ok, I think we have all necessary things to establish the residence.
dlga_dplmc_spouse_move_residence_tools:spouse_pretalk|Well, I guess I have to get the set of tools and the piles of wool first.
dlga_dplmc_spouse_move_residence_select_ask:dplmc_spouse_move_residence_select|Where do you want to move the residence?
dlga_dplmc_spouse_move_residence_select:dplmc_spouse_move_residence_ask_confirm|{s6}.
dlga_dplmc_spouse_move_residence_select:spouse_pretalk|I changed my mind.
dlga_dplmc_spouse_move_residence_ask_confirm:dplmc_spouse_move_residence_confirm|Are you sure that you want to move your residence to {s6}?
dlga_dplmc_spouse_move_residence_confirm:dplmc_spouse_move_residence_moved|Yes,  please arrange everything.
dlga_dplmc_spouse_move_residence_confirm:spouse_pretalk|No.
dlga_dplmc_spouse_move_residence_moved:spouse_pretalk|As you wish, I will move the residence to {s6}.
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary|Threaten them with war and see what you can squeeze out of them.
dlga_event_triggered:dplmc_companion_threaten_request_response|Well, {s21}, at last I've found you. I have returned from my mission to {s31}.
dlga_dplmc_companion_threaten_request_response:companion_rejoin_response|They paid {s21} aurums and are expecting that you leave them alone. I agreed on a truce of 40 days.
dlga_dplmc_companion_threaten_request_response:companion_rejoin_response.1|They send you a declaration of war.
dlga_dplmc_companion_threaten_request_response:companion_rejoin_response.2|They are not willing to fold facing your threats.
dlga_minister_diplomatic_initiative_type_select:dplmc_minister_gift_type|I want to send a gift.
dlga_dplmc_minister_gift_type:dplmc_minister_gift_type_select|We can send them some excellent horses from the best horse breeder in our kingdom or we can hand over a fief.
dlga_dplmc_minister_gift_type:dplmc_minister_gift_type_select.1|We currently only have the option to hand over a fief since we don't have a chamberlain.
dlga_dplmc_minister_gift_type_select:minister_diplomatic_emissary|Send horses for 3000 aurums.
dlga_dplmc_minister_gift_type_select:minister_diplomatic_emissary.1|Send horses for 6000 aurums.
dlga_dplmc_minister_gift_type_select:dplmc_minister_gift_fief|Hand over a fief
dlga_dplmc_minister_gift_type_select:minister_pretalk|Never mind.
dlga_dplmc_minister_gift_fief:dplmc_minister_gift_fief_select|Which fief do you want to hand over?
dlga_dplmc_minister_gift_fief_select:minister_diplomatic_emissary|{s1}
dlga_minister_emissary_dispatch:minister_diplomatic_dispatch_confirm|Very well -- I shall send {s11} to the {s12} to {s14}.
dlga_event_triggered:companion_rejoin_response|Well, {s21}, at last I've found you. I have returned from my mission to {s31}. They were agreeably surprised.
dlga_minister_talk:dplmc_minister_exchange_prisoner_ask|I wish to exchange a prisoner.
dlga_dplmc_minister_exchange_prisoner_ask:dplmc_minister_exchange_prisoner_select|Which prisoner do you want to exchange?
dlga_dplmc_minister_exchange_prisoner_ask:minister_pretalk|Unfortunately, there is no one to send right now.
dlga_dplmc_minister_exchange_prisoner_select:dplmc_minister_exchange_prisoner_lord_ask|{s10} of {s11}
dlga_dplmc_minister_exchange_prisoner_select:minister_pretalk|Nobody.
dlga_dplmc_minister_exchange_prisoner_lord_ask:dplmc_minister_exchange_prisoner_lord_select|Which of our lords do you like to you want to set free?
dlga_dplmc_minister_exchange_prisoner_lord_select:dplmc_minister_prisoner_emissary|{s10}.
dlga_dplmc_minister_exchange_prisoner_lord_select:minister_pretalk|Nobody.
dlga_dplmc_minister_prisoner_emissary:minister_emissary_select|Who shall negotiate the exchange?
dlga_event_triggered:dplmc_companion_prisoner_exchange_confirm|Well, {s21}, at last I've found you.They agreed to exchange {s32} for {s33}. {s33} has accompanied me back here. Do you want to set {s32} free?
dlga_dplmc_companion_prisoner_exchange_confirm:companion_rejoin_response|Yes set {reg4?her:him} free.
dlga_dplmc_companion_prisoner_exchange_confirm:companion_rejoin_response.1|No don't set {reg4?her:him} free.
dlga_event_triggered:companion_rejoin_response.1|Well, {s21}, at last I've found you. They didn't agree to exchange {s32} for {s33}.
dlga_minister_talk:dplmc_minister_persuasion_fief_ask|I want to persuade a lord of joining our kingdom.
dlga_dplmc_minister_persuasion_fief_ask:dplmc_minister_persuasion_fief|Your emissary can't go with empty hands we have to offer a fief. Which one do you want to offer?
dlga_dplmc_minister_persuasion_fief_ask:minister_pretalk|Unfortunately, there is no one to send right now.
dlga_dplmc_minister_persuasion_fief:dplmc_minister_persuade_lord_faction_ask|{s11}
dlga_dplmc_minister_persuasion_fief:minister_pretalk|Never mind -- there is no fief I can offer.
dlga_dplmc_minister_persuade_lord_faction_ask:dplmc_minister_persuade_lord_faction|Where does the lord live you want to persuade?
dlga_dplmc_minister_persuade_lord_faction:dplmc_minister_persuade_lord_ask|{s11}
dlga_dplmc_minister_persuade_lord_faction:minister_pretalk|Nowhere.
dlga_dplmc_minister_persuade_lord_ask:dplmc_minister_persuade_lord|Who shall be convinced?
dlga_dplmc_minister_persuade_lord:dplmc_minister_persuasion_emissary|{s11}
dlga_dplmc_minister_persuade_lord:minister_pretalk|I can't think of anyone.
dlga_dplmc_minister_persuasion_emissary:minister_emissary_select|Who shall I send? You should choose one who has skills in persuasion!
dlga_minister_emissary_dispatch:minister_diplomatic_dispatch_confirm.1|Very well -- I shall send {s11} to {s12} to persuade {s13} and offer {reg4?her:him} {s14}.
dlga_event_triggered:companion_rejoin_response.2|Well, {s21}, at last I've found you. I have returned from my persuasion mission to {s30}. {s14} doesn't want to join you. {reg0?She:He} said: {s40}
dlga_event_triggered:companion_rejoin_response.3|Well, {s21}, at last I've found you. I have returned from my persuasion mission to {s31}. {s14} agreed to join you.
dlga_minister_talk:dplmc_minister_spy_kingdoms|I wish to spy out another kingdom.
dlga_dplmc_minister_spy_kingdoms:dplmc_minister_spy_kingdoms_select|To whom do you wish to send this spy?
dlga_dplmc_minister_spy_kingdoms:minister_pretalk|Unfortunately, there is no one to send right now.
dlga_dplmc_minister_spy_kingdoms_select:dplmc_minister_spy_emissary|{s11}{s14}
dlga_dplmc_minister_spy_emissary:minister_emissary_select|Who shall be your spy? You should choose one whom you trust - and who has skills in spotting!
dlga_event_triggered:dplmc_companion_spy_request_select_center|Well, {s21}, at last I've found you. I have returned from my reconnaissance mission to {s31}. About which location do you need information?
dlga_event_triggered:close_window.1|My, lord. I am coming back from the reconnaissance mission to {s31}. I am sorry, we were caught  off  guard and they got {s11}. I barely escaped.
dlga_dplmc_companion_spy_request_select_center:dplmc_companion_spy_request_center_selected|{s60}
dlga_dplmc_companion_spy_request_center_selected:dplmc_companion_spy_request_select_newcenter|{s4} {s3} and there are {s31} troops around.
dlga_dplmc_companion_spy_request_select_newcenter:dplmc_companion_spy_request_select_center|Do you need information about another location?
dlga_dplmc_companion_spy_request_select_center:companion_rejoin_response|Never mind.
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.1|Tell {s10} that I want to form an alliance with him.
dlga_event_triggered:dplmc_companion_alliance_request_response|Well, {s21}, at last I've found you. I have returned from my mission to {s31}. 
dlga_dplmc_companion_alliance_request_response:dplmc_companion_alliance_confirm|{s4} is willing to form an alliance with you.
dlga_dplmc_companion_alliance_confirm:companion_rejoin_response|Very well - let this alliance with {s4} be concluded.
dlga_dplmc_companion_alliance_confirm:companion_rejoin_response.1|On second thought, perhaps this is not now in our interests.
dlga_dplmc_companion_alliance_request_response:companion_rejoin_response|{s4} is not willing to form an alliance with you.
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.2|Tell {s10} that I want to conclude a defensive pact with {reg0?her:him}.
dlga_event_triggered:dplmc_companion_defensive_request_response|Well, {s21}, at last I've found you. I have returned from my mission to {s31}. 
dlga_dplmc_companion_defensive_request_response:dplmc_companion_defensive_confirm|{s4} is willing to form a defensive pact with you.
dlga_dplmc_companion_defensive_confirm:companion_rejoin_response|Very well - let this defensive pact with {s4} be concluded.
dlga_dplmc_companion_defensive_confirm:companion_rejoin_response.1|On second thought, perhaps this is not now in our interests.
dlga_dplmc_companion_defensive_request_response:companion_rejoin_response|{s4} is not willing to conclude a defensive pact with you.
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.3|Tell {s10} that I want to sign a trade agreement with {reg0?her:him}.
dlga_event_triggered:dplmc_companion_trade_request_response|Well, {s21}, at last I've found you. I have returned from my mission to {s31}. 
dlga_dplmc_companion_trade_request_response:dplmc_companion_trade_confirm|{s4} is willing to sign a trade agreement with you.
dlga_dplmc_companion_trade_confirm:companion_rejoin_response|Very well - let's sign the trade agreement with {s4}.
dlga_dplmc_companion_trade_confirm:companion_rejoin_response.1|On second thought, perhaps this is not now in our interests.
dlga_dplmc_companion_trade_request_response:companion_rejoin_response|{s4} is not willing to sign a trade agreement.
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.4|Tell {s10} that I want to conclude a non-aggression treaty with {reg0?her:him}.
dlga_event_triggered:dplmc_companion_nonaggression_request_response|Well, {s21}, at last I've found you. I have returned from my mission to {s31}. 
dlga_dplmc_companion_nonaggression_request_response:dplmc_companion_nonaggression_confirm|{s4} is willing to conclude a non-aggression treaty with you.
dlga_dplmc_companion_nonaggression_confirm:companion_rejoin_response|Very well - let this non-aggression treaty with {s4} be concluded.
