
ip_dplmc_info|"기능: 외교 모드"
ip_falconlore_text|"The Realm Of The Falcon split up from Elintor in the early days of the Elvarie's arrival to Perisno. In 323 a few Elintoran Nobles decided that endless wars and fruitless negotiations, led only by the intention to continue with the bloodshed for the sake of honor, could no longer be their way and also couldn't provide the future, they dreamed of, for their people.They decided that it was better to live a rather poor and simple life than being just invaders and power-hungry plunderers to a land that was not their own. Elintor, being constantly at war with the other kingdoms of Perisno, couldn't prevent them and their followers from leaving Forniron. They quickly disappeared into the great woods, adjoining the territories, later inhabited by the Hakkon, finally settling at the foot of the mountains.^^The isolation they chose, protected them as planned from the persecution of Elintor and other Kingdoms and still being considered only another band of outlaws, neither Elintor nor other kingdoms were willing to sacrifice valuable ressources to go after them - they were left in peace.A peace which allowed them to grow in numbers, using their good relations to some Tolranian lords to establish trade routes. After all, the Tolranians had come to Perisno for the same reason, those nobles and their followers had split up from Elintor and the fact that there were still lords of Tolrania, opposing these endless wars, made them sympathize with -and protect each other.^^As they settled down, they quickly found out that there was already someone living in the woods nearby. A group of people with their own rites and beliefs.^^They were already followers of the new gods, living in harmony with nature. These people, as well as their believes quickly became part of the Realm's culture and today nobody could tell assuredly who aligned with whom, but something that for sure can be said is, that their believes were very similar to each other and therefore brought no reason for a struggle.So from the beginning, The Realm Of The Falcon not only respected other folk, but their animals as well and being partly Elvarie still, they used their strong empathy to become friends of the creatures they were depending on, rather than dominating them. They had learned that bonds thus established are alot stronger and more effective. A reason for this as well might have been the ever rising number of refugees from all corners of Perisno, affiliating to their population and knowledge. Desperate people with hopes for a better future for themselves and their children arrived, after rumors of a somehow peaceful life in the Realm Of The Falcon reached their ears. They were Tolranian peasants, Maccavian Smiths and Traders from the Reich, fleeing the tax burdons and inhumane treatment by their lords.^^After a few years, this growing community blossomed into a sovereign State that at last gave itself the Name Realm Of The Falcon originating from the falcon that assists their nobles on the hunt. For hunting on horseback with a falcon was a discipline the lords brought from Elintor and the falcon being a symbol for witness, agility and chivalry...But a community growing bigger also had to be well protected, so in 340, when more and more caravans got raided by the Hakkon Emperor on their no longer secret but rather long routes, the lord's council decided to build up an army, incomparable to others and very hard to defeat. Still lacking the strength in numbers, compared to the other states, they decided that only a strong cavalry could be a big enough deterrent to protect them from being extinguished again in a surprise attack. Heavy-heartedly they implemented a conscription, knowing that the perspective to get killed in one of their lord's wars, had been the reason for so much folk to join the Realm in the first place.^^Nevertheless most people understood and in 341 the first recruits mounted their horses; formidable horses, for they were descendants of the Elvarie horses, brought by their owners from Elintor and one of the reasons as well, because of which the caravans had gotten raided so often.^^ For their horses were the most important trade good of The Realm Of The Falcon and the Golden Hall in the center of their only city could never have been constructed if not with the income that horsetrade had generated. This was only possible, because more and more terrain of the great woods had to be cleared with the growing number of people that crops had to be grown for. These grounds were also best suitable for horse-breeding.From 341 on, there were more and more skirmishes with the Hakkon Empire and fears grew within The Realm Of The Falcon that an open war might become unavoidable and was only postponed by the empire because of continous fights against the other kingdoms.^^In 345 the war broke out, but it turned out that The Realm's strategy of enhanced cavalry was most effective. The Lords had elected a Marshal that temporarily had the same authorities like a king. Only temporarily though, because those Lords believed in a more democratic way and most of them remembered the consequences in laying too much power into the hands of a single individual. The man they elected wasn't even a noble, but the oldest son of a Maccavian family that emmigrated to the Realm Of The Falcon in 325. He had shown himself to be very skilled as he had climbed the ranks of the new build army unbelievably fast, showing extraordinary intelligence, tactical intuition as well as courage. His name was Gunnar and after his victory over Emperor Hakkon II in 346 in the Battle of Amarna he was honored with the honorary title The Falcon after he had conquered the city. Amarna was later returned in exchange for recognition and the guaranty of the trade routes.^^The Hakkon Empire had underestimated the Realm's strength and in particular the determined militancy of its priests, that, fom their appearance alone, can instill terror on someone. They were ignorant enough to take on Gunnars troops in an open-field-battle, which led to their shameful defeat.^^ After the peace agreement, the army was quickly rebuilt and the Realm Of The Falcon flourished through trade like never before, for the trade routes were then considered save, at least from the Hakkon raids. This, of course, incited desires within the other kingdoms for the wealth thus created and only through means of extremely cautious diplomacy, The Realm Of The Falcon avoided another war until...In 365 it happened...Rumors of a new invasion to Perisno reached the Realm. The people shuddered upon the atrocities that were said to be comitted by the unknown foe, much harder to defeat as any other army. And again the Lords decided to send Gunnar to oppose this new great danger that had come over the already war-torn lands of Perisno..."
ip_kuulanlore|"지식: 쿠우-란 호드"
ip_kuulanlore_text|"The story of the Kuu-lan Horde starts far from Perisno, on the continent known as The Great Plain - a place renowned for its green fields and clear blue sky. For centureis, the nomadic inhabitants lived in peace on the vast continent.^^However, tension grew as the once isolated nomadic families were forced to interact with each other as the population grew. Around year 29 families began banding together into tribes as the first violent conflicts erupted and dark times fell over The Great Plain.^^One day, a prophet named Kesser appeared and began preaching peace, begging the people to stop their senseless violence. He told them that a god would punish them for their wicked ways, but the nomads worshipped the spirits of their ancestors and didn't believe in gods. ^^Year 36 - A meteorite hits the center of the continent, creating a massive crater. Kesser was the only survivor. The people from the uneffected areas of the continent began gathering to him, seeing his miraculous survival as divine intervention. Kesser then took the meteorite ore and made weapons from it that surpassed the work of the greatest craftsmen, calling it Dimir. The people made Kesser their Hakan, or ruler, marking the beginning of the Turan Empire and the worship of Kesser's god, Tangir. ^^Year 53 - Kesser passes away, and his second in command Dimir, who named himself after the meteorite ore, becomes the new ruler. He immediately reinforces his power by repressing several nomadic nobles and gaining the support of the Turan people and elders. ^^Years 60-200 - The golden age of the Turan Empire. ^^Year 221 - A merchant ship from Hakkon arrives at the Great Plain. A trade deal is signed between Hakkon and Turan.^^Year 223 - Hakan Kulak dies under mysterious circumstances and his regime is overthrown. Kulak's wife, son, and daughter escape. A temporary council of Khans becomes the new leadership of Turan to prrevent discord and disorder until a new ruler is chosen. ^^Year 227 - A Hakkon invasion fleet lands at The Great Plain.^^Years 227-237 - The Hakkon army overwhelms the Turan defenses, occupying multiple territories. ^^Year 239 - Saldar Olen rises to power. Several tribes leave Turan Empire.^^Years 240-262 - 35-year war against Hakkon ends with a temporary truce. The Turan Empire managed to retake a part of the lost territory, but the rest of it remains in the hands of Hakkon. Olen falls in battle against rebel tribes. His younger brother - Anyz - is chosen to be the new Hakan. Anyz's right to rule is supported by a legend that he is a distant descendant of Kesser.^^Year 263 - Rebels unite under the leadership of Baatur Bulat, who claims to be the son of Kulak of Dimir's dynasty.^^Year 280 - Anyz and his family are killed by rebels. Olen's children escape to one of Hakkon's provinces. Kirran, the eldest, becomes an oficial, while his younger brother Kuulan becomes the leader of a band of Turan mercenaries employed by Hakkon. Dimir's dynasty is reinstated. Bulat's son - Mangi - becomes the new Hakan. ^^Year 300 - Kirran and Kuulan move to the capital of Hakkon's provinces on The Great Plain. ^^Year 330 - The brothers lead an army of their fellow tribesmen under Hakkon banners to the continent of Perisno. The fleet gets caught in a storm, and Kirran's ship sinks with Kirran's entire family aboard. Having received news of Emperor Comrey II's death, Kuulan chooses to abandon his service to Hakkon. Several months later he is killed in a battle against Hakkon troops. His 5 sons, Aksakal, Karasakal, Boshman, Akin and Kengesh, become the new leaders of the nomads and swear to avenge their father's death. According to tradition, Boshman Baatur, the third son of Kuulan, becomes the ruler. Other nomads support him and form a faction named after the deceased former leader - the Kuu-lan Horde. "
ip_giantslore|"지식: 수트와 바칼 거인족"
ip_giantslore_text|"The giants of Perisno are an ancient race, perhaps one of the oldest inhabitants- although there is definitely contesting claims to that. Giants as a race, or the 'Suti' in their own tongue, which means children of Sut, an Earthen mother goddess, are tall and muscular with heavy angular features and deep seated eyes. Their size far outpacing humans, both in overall height and mass as well as proportionally with wider shoulders in males and wider hips with females in comparison to other races. Physiologically they breed slower than the other races, and have a lower female to male ratio, female giants often having twins when they give birth to new infants. This has made the race of Giants highly protective of their females, giantesses often staying away from violent activities that may endanger them, often being in charge of home, hearth, supplies and other such things, and craftsgiants- most of the clothing, weapons and armour and day to day tools and objects that aren't imported in via trade being made by the hands of Giantess's.^^Male giants on the other hand, traditionally hunt and go off to fight and are valued less than female Giants. However, despite this most political positions of power are led by male Giants, as the struggles for leadership and intricacies of power are not escaped on Giantkind, a race most other races of Perisno think stupid and simple. And often females form the roles of venerated advisors instead of direct leadership because of the rather large target direct political positions have within a clan; although that isn't to say that the female giants don't contest power among themselves.^^Giants form a largely power based society, mostly focused on either martial might and the ability to impose your will as a male or the skills you have as a craftgiant and able mother or oracle in the case of females.^^Giants used to be spread all across Perisno in close knit family tribes and clans living a hunter gatherer lifestyle, with some Giant clans having settled in small villages across the continent, their main homeland being what is now the Chiefdom of Sut. However, over the centuries and the growth of Elven supremacy and later on human expansionism came persecution of the Giant race. Many races felt intimidated by the size of Giants, as well as by their rather violent capacity in warfare. Prejudice was very common against Giants, especially for realms such as Drachen and others who often, if not outright killing the Giants on sight, enslaved them to force them to work in grueling conditions until they were broken of spirit and body. While the clans of Sut sat settled and prospered in their mountainous homes and forests, the rest of Giantkind across Perisno was driven to the east of the continent in a mass migration.^^Giants refer to this migration as the 'Walk of suffering' or in their own langauge, Gurthu'uk Asht'kar. Preyed upon by bandits and marauders, this migration was characterized by its brutalization of the Suti people as they tried to find an escape from persecution. This was made even worse as the Giants of Sut rejected their kin from settling in their lands, the Giants of Sut fearing that the overcrowding of their territories would lead to mass starvation. The rest of Giant kind remembers this bitterly, causing a great schism between the Giant people. They finally settled on the eastern coasts of Perisno in what is now known as the Kingdom of Bakhal, or simply known back then as, Bakhal- which translates roughly to 'Exiled land' in giant tongue.^^The giants sat in squalor for many many years until a warlord by the name of Vharska united them in battle of succession, forging a mighty confederation of the dispersed tribes of Bakhal under a motive of reclaiming lost glory for Giant kind and revenge upon those whom had persecuted their race, preaching fiery rhetoric of hatred and retribution against their enemies. It wasn't long before Vharska started to push his now militarized people out into other lands, conquering nearby coastal settlements right from the water on large boats and proceeding to conquer, enslave and pillage the lands of humans and others. His descendant to this day does the exact same, remembering his father's rhetoric with fond compassion, the giants of Bakhal with a dream of conquering Perisno for the sake of Giant kind and paying retribution upon their traitorous kin in Sut, and extinguishing the flame of the other races once and for all."
ip_perisnokingdomlore|"지식: 페리스노 왕국"
ip_perisnokingdomlore_text|"The final faction that will emerge within the land of Perisno, carrying the name and will of the ancient. This faction will be formed once the player becomes a monarch under his/her own name.^^History records it as the one true kingdom within the land of Perisno. This kingdom was once a glorious and prosperous empire until it suddenly collapsed, most likely due to internal power struggles. Given the current state of war within the land today, the return of the Perisno Empire is most likely a pitiful and vain dream, nigh impossible.^^However, within the mountains that border Hakkon and Drahara, an ancient ruin remains from the former mighty Perisno Empire. The Third Legion, a noble group of descendants of the ancient empire, still roam the land, opposing every faction and force with hope of reforming the empire and returning it to their ancestors' former glory.^^Another group that wishes for the empire's return are the Perisno Pilgrims, a group of people who are also descended from the ancient empire. These 'Pilgrims', unlike the Third Legion, are descendants of the common people of the Perisno Empire. They wish for the kingdom's peaceful rebirth, and unlike their noble counterparts, they search for a hero with the skills and determination to raise it from the ashes.^^Perisno is a flexible nation, in which policy may be determined by the ruler. It can be either the King/Queen of Perisno or the Perisno Republic. The ruler can create justice and prosperity for the people or bring cruelty and despair for ages to come."
ip_cretaslore|"지식: 크레타 군주국"
ip_cretaslore_text|"The Cretas Commonwealth is a monarchy led by King Aolas. After two long and arduous wars against Elintor and Reich Des Drachen, a set of military changes called the Schiathan Reforms were put into place. These reforms emphasized the role of spearmen, heavy army, and shields for protection against the Elintoran Rangers and Drachen Dragoners."
ip_zannlore|"지식: 잔 제국"
ip_zannlore_text|"The Emperor Zann is a bastard child of the God Emperor Shang Jin, who had been the uniter and conqueror of the wild steppes of Khergia, the massive tribes of Sine, and the reclusive, yet powerful, island people of Shun-Ha. The bastard launched a campaign against his father approximately halfway into the new era. Five cycles later he is fighting a losing war against a father he underestimated. Hearing about the constant fighting of the land over the sea, he decides his last and only option is to retreat into Perisno, conquering as he goes. In order to prevent this, Shang Jin sends one of his Black Warriors (his newphew Shi Jin) to warn the Perisnoan kingdoms of the threat.^^Zann stays behind with a core group of generals to loot what he can from Nadire before departing. He will appear one month after the rest of the Imperial Army, for surely that is all the time it will take to conquer Perisno, he assumes. The Jin Empire followed Zann after they invaded Perisno, deciding they needed to rid their enemy once and for all. This means two invasions, although the Jin Empire is concentrated only on destroying the Zann. They will bring their war from Khergia, Sine, and Shun-Ha to a new front in Perisno, while the other factions, powerless and weak as they are, can only watch.^^The player is the only one who can help the Jin stop the Zann, or even choose to destroy both. The Zann's armies are a hybrid of Mongolian, Japanese, and Chinese style troops. They have formidable archers, strong horse archers, and intimidating infantry. They lack very heavy cavalry, but that is their only flaw - they are balanced on all other fronts. The player will find their style of fighting very different from the average Perisno army, and this may either be a good or a bad thing."
ip_aroulolore|"지식: 아로우로 오지부와칸"
ip_aroulolore_text|"진행중인 작업."
ip_kaikothlore|"지식: 카이코스 연합"
ip_kaikothlore_text|"The Dwarves are inhabitants of Perisno. They used to be an important part of the great Perisno Empire, both by their commerce of metals and jewels, and by their good relations with the Empire's human leaders. They once had twelve great cities, built in the mountain, as symbols of their greatness. No blacksmith in the world could match the skills of a dwarf. They created exquisite jewels and excellent armour. Later the Old Perisno Empire crumbled and fell. And though the dwarves were not part of this Empire, deep inside their mountains, they felt the consequences of this event. When the invasion began, and the elves first landed on the coast of Perisno, they savagely attacked the dwarves, forcing them to abandon some of their lands and cities. Howver, the dwarves are a proud people, who didn't want to see its enemy plunder their lands and live in their cities, so they raided the lands and closed the entrances to their cities.^^For the first time in centuries, the dwarves decided to elect a king. As a matter of fact, each dwarven city was independent, but during the dark ages of the dwarven nation, the dwarven Tarhns elected only one of them as their King. All of them agreed to elect Bluin, the Tarhn of the town of Nimazar, as their respected leader and King. Bluin the First led a massive army of dwarves to take back their lands and kick the elves back into the sea. The dwarrves, however, didn't wage a war for centuries, and even if their warriors were proud, they were too weak. Thousands of dwarves died fighting the elves, and they couldn't raise enough warriors to fight the other invaders. When Tolrania and Hakkon landed on Perisno, the dwarves were only a shadow of their former glory. Bluin died in a desesperate battle to save the southern dwarven cities, and the twelve previously almighty dwarven cities were now only three: Nimazar, Anik-d�r and Hornogoth.^^Their King was dead, and his son, Tarhn Bruin, reclaimed the throne. When his father died, the dwarven Tarhns faced a very unlikely situation. A King died without having nominated a royal heir. For Tarhn Bruin, it was clear that, if his father had nominated a heir, it would have been him. But the new Tarhn of Nimazar claimed that the throne was rightfully his. However, according to the law, the Tarhns had to choose the next King. Tarhn Bergnar, Tarhn of Hornogoth, demanded a meeting of the Assembly. He used all his might to persuade the powerful family, who ruled the now lost city of Anik-d�r, to support his claims to the throne. He was elected to the dismay of Tarhn Bruin.^^The New King said only one thing when he took the throne: 'I will take back what is ours.'"
ip_minorfactionlore|"지식: 작은 세력들"
ip_minorfactionlore_text|"^- Geldar -^^Geldar is an offshoot of Elintor that inhabit a small peninsula below the Elintoran capital, Forniron. They are a strange group and no one knows the exact reason of their split. Some say it was because of a civil war, others say it was because of the Elintorans being a completely different species of Elves who felt they were being treated like a minority. At glance these elves are not different, except for the pattern of their armors. Even so they hate the Elintoran so much that they will attack any Elintoran party in sight. Like the Elintorans, the Geldars are masters of archery. They are as powerful, and to some extent, even stronger than Elintor.^ ^- The Volheere Raiders -^^The Volheere raiders came from the continent of Nisaynia, which is near Perisno. They are a hard people, having to live through the harsh winter climates of their continent. Somehow, they survive through it yearly, but the past decade has been particularly rough to them. They believe that their god, Woden, has forsaken them and they are no longer worthy people. They decided that they are not 'holy' enough to live on the land of Nisaynia, where their gods roam. The entire Volheere people sailed away, and happened to come to Perisno. They landed on the coasts and sacked everything they could find. Since then, they have established themselves as a minor power in Perisno. Their berserkers are a feared group, and the leader, Ulfhednar, is a formidable man. It will take a strong hero to defeat the Volheere raiders and wipe them off the face of the earth.^ ^- The Demon Worshippers & Order of the Eagle -^^The Demon Worshippers have always been in Perisno, preaching and trying to spread their vile beliefs. Most sensible men ignored them and told their children stories of the Worshippers to scare them but there are always some foolish men that fall under the beliefs of Demons. The Demon Worshippers are ordered in a hierarchy, with the Demon Lord at the top. None of them are actually demons, but there are rumors that recently research has been made by the Demon Worshippers to really summon Demons into the world through the Underworld. Whether this is true or not remains for the player to decide (and find out).^^The Order of the Eagle was founded at around the year 308, to combat these Demon Worshippers. They started out golden and pure, swearing to uphold justice and honor wherever they went. That was long ago. Now, the Order of the Eagle and the Demon Worshippers only have one difference: their beliefs. The Order of the Eagle are now vile and greedy, lead by the Patriarch, and they use intimidation to force other lords to give them funds for their numerous campaigns against 'heretics'. The Order has been mortal enemies with the Demon Worshippers since their foundation, and it still remains so. However, there are rumors of a secret weapon they are creating to permanently wipe out the Demon Worshippers from the world. Whether this is true or not remains for the player to discover as he progresses through Perisno.^ ^- The Syrin Nomads -^^The Syrin nomads are migrating from their homeland, called the Aelston Desert. After living in their home for hundreds of years, the desert became uninhabitable. Some say the Gods themselves were the cause of this. The entire nation had to migrate, and so they did. After traveling through vast and cruel deserts, the situation was becoming hopeless, until one day, they chanced upon a settlement. The people there said they were ruled by the Draharans. The Syrins, lead by Queen Zolona, decided that it would become the perfect home for them. So began the war between the Draharan nation and the Syrin nomads, in the year 365. The war goes on still, and now Zolona ravages the Draharan countryside, angry for her failures attacking the Draharan castle. It is up to the player to eliminate this threat.^ ^- The New God & Old God Followers -^^The tension between the Maccavian Lords are becoming more and more evident. Maccavia is a nation on the brink of civil war, and its neighbors watch with hungry eyes as it looms closer. On one side are the followers of the Old Gods, who do not tolerate the New Gods followers. Both think each other heretics and the beliefs have torn apart families and friends. King Agathor Krex leads the Maccavian Old Gods followers and the New Gods Followers are a Republic. These factions have both selected elite troops, the Holy Crusaders for the New Gods and the Divine Aethlings for the Old. It is up to the player to decide whether he wants to follow the path of the Old Gods or the New Gods, or none of them.^ ^- The Illica Falki -^^The Illica clan is living at the top of the mountain ranges north-east of Persino. They've befriended a mystical bird-like beast living on the mountain, the Falki. Young children from the clan are chosen by a child Falki, to grow up together, and become companions. When both reach adulthood, they will be sent to hunt in all around the mountain ranges. In the past the Illica used to be a mighty clan of all Perisno's native inhabitants. First Elintor and after that the Reich Des Drachen invaded and tried to force them into submission. The Illica clan was forced back to castle Sky, their home. Because of that, the Illica clan hates all foreign immigrants to Perisno. They have a very bad relationship with Elintor and Reich Des Drachen. Often they send various parties to sabotage the Reich's caravans and even to attack the Reich lords' army.^^Zeladeck, Illica's greatest Falki Knight was not an Illica to begin with. He was an orphan raised by a lumberjack couple, living in the forest near the mountain range of the Illica. One day, he found a big injured Falki in the forest, and tended its wound. Nursing the Falki all day long for half a year, Zel and the Falki became best friends. The Falki then regained its strength, and took Zel to the Illica clan, only to reveal that that Falki is a direct descendant of the Sky King, the strongest and most respected Falki. He was 10 by that time. Zeladeck was then trained, and with his gifted ability of a warrior, plus the good teamwork between him and his Falki, he soon became the greatest Falki Knight at the age of only 19. Some time after that, he went back to this home, only to see the abandoned wreck of what used to be his home. Raged, he alone went to the Reich, in order to find out the wherabouts of his parents and then take his vengeance. There he met a Drachenritter whose power was on-par with his and they fought one whole day without a winner. Not satisfied with the result, he went back to Illica to assemble his followers and try to settle the score, once and for all.^ ^- The Foreign Invaders -^^The Foreign Invaders come from the Continent of Nisaynia, where the Volheere Raiders also originate from. They are called the Foreign Invaders, but their real name is the Rafkla Clan. While conducting a naval raid on another clan, a huge wind blew their ships away and scattered them, and after sailing for many days, half of them landed on Reich lands in Perisno while the other half landed in the Draharan deserts. Their Clan 'King', Rafklazan, is desperate for a way home although he seems to be enjoying looting the countryside and wrecking caravans in Perisno better than Nisaynia. The Foreign Invaders will be a large threat to the player, as they have big parties of troops. However, if the player manages to kill them, the rewards and loot will be great.^ ^- The Wolf Knights -^^The Wolf Knights were founded recently by a man named Lupus, who claimed he could communicate with wolves. He founded his Order, the Wolf Knights, with the sole purpose of claiming the land around him as his own. The Wolf Knights grew very powerful, and soon the land they wanted became theirs. Their top tier Wolf Constables are almost impossible to stop, and some say that they have been given the strength and speed of wolves. There are rumors that they ride wolves as well, although there is no proof. The Wolf Knights are at war with their neighbors, the Reich, Drahara, and Maccavia. Even the formidable Reich Dragoners are no match for the Wolf Knights, proven in countless battles. The Wolf Knights are also very secretive, and no one knows where their headquarters is. If the player should meet these knights, wandering in small parties of 5 to 10, then he/she should be careful, because even 5 of these knights and 1 constable can do significant damage to a well trained army.^ ^- The Lymbardian Knights -^^The Lymbardian Knights are the local knights of their region, the County of Lymbar. They owe their allegiance to no one, even though their geographic location suggests otherwise. They were founded by a Count of Lymbard a long time ago, long before Tolrania sailed to Perisno and when the Venetor Empire ruled. They have patrolled their land ever since their foundation, and continue to do so even after hundreds of years. They are hostile to anyone who comes into their land and so naturally, they will be hostile to the player. While their knights aren't the best, they can still pack a punch so be careful of them, especially early in game.^ ^- The Desouk Slavers -^^It is unknown exactly when the Desouk Slavers started their business, but they have become very successful at it. In fact, they are so successful at their trade that most of their parties consist of many slaves. The Desouk Slavers do their dark business only for gold, and are mortal enemies of the Manhunters and other slave trader groups. They occupy mainly the land around Desouk, but their influence is spreading steadily and soon their slave trade network may move through even to Tolrania. They will be a minor nuisance to the player, but a nuisance nevertheless.^ ^- The Ankars -^^The Ankars are matriarchal society and only women are allowed to lead or have positions of leadership. The men are usually slaves and prisoners of war who are killed after their uses are spent. Any male sons are also killed, and the females are trained from an early age to fight. The Ankars also have Priests to conduct these rituals and sometimes fight on the frontline, wielding huge swords but little armor. The Ankars have been in Perisno for many years and have never wandered past their territory, in the Tolranian Forests. Orders like the Order of the Eagle and the Wolf Knights think they are abnormal and need to be killed. Because of their location, they fight frequently with Tolrania and the Tolranian Outlaws inhabiting the forests.^ ^- Mercenaries -^^As you explore Perisno, you will notice that there are often large parties of mercenaries roaming around the map. These heartless souls care for nothing but gold and would do anything to get it. There are parties of both male and female mercenaries alike that wander Perisno, looking for throats to cut and people to hire them. Some parties are large while others are small and concentrated, but every one of them will pose a threat to the player.^ ^- The Third Legion -^^The Third Legion is a remnant of the ancient Venetor Empire, the first great power to inhabit Perisno. It is said that the Venetor Empire, under the prodigious Emperor Trilond, used to rule the better part of the world, and that there was not a remote corner of the land that their fame had not touched. At the time, the Third Legion was Emperor Trilond�s most prestigious army division, and many men of the Third served in his personal guard regiment. The Third Legion�s leader, or Atanos, in the days of the Empire was a charismatic man named Octiem.^^In the year 67, however, Emperor Trilond fell ill in his old age. After his death, there was tremendous infighting within the Venetor aristocracy for his position and, by 68, the provisional government had failed to select a candidate. Seeing certain doom in the future of Venetor, Octiem�s Third and a small group of civilian supporters fled the crumbling Empire and took refuge in southern Perisno, around modern-day Amarna. They watched in shock as the centuries of civilization they had been a part of crumbled to the ground in a series of rebellions, and soon Octiem and his followers were the only intact memory of their glorious Empire.^^For over two centuries, the Third Legion and the few other surviving members of Venetor kept their traditions and customs safe. Based out of an old military outpost that had been relatively untouched by the Empire�s fall, the Third bravely defended against  increasingly prevalent threats on the Perisno mainland. First it was the Demon Worshippers, then the mischievous Redwood Elves, and now the Third finds themselves surrounded by many diverse cultures that all present a threat to the ways of the old. Now lead by a direct descendant of Atanos Octiem that goes by the same name, the Third Legion wishes to once again expand their powers from coast to Perisnoan coast, to raise their long lost Venetor Empire from the ruins and expel all those that stand in their way.^ ^- The Mosoru Riders -^^The Mosoru Riders occupy the desert lands separating the Dwarven nation from the rest of Perisno. They are a fierce proud people, and do not care for outsiders. They tend to keep to themselves but they claim the entirety of the desert beyond the mountain's theirs, so If you venture into their homeland, you may regret it. The Mosoru ride horses, and you will find both male and female warriors in battle. The male riders ride into battle with two swords, but no shield. The Female rider's on the other hand equip both a bow and a sword.^ ^- The Ukundu -^^The Ukundu people are native to the continent of Nisaynia. Although they share their land with the Volheere Raiders and the Rafkla Clan, the Ukundu live in the remote jungles of Nisaynia far away from the other two clans and even further from Perisno. It is only through the tales picked up by Ukundu travellers from the recently-returned King Rafklazan that they learned of the prosperous and dangerous land of Perisno. Having conquered the Ukundu's home jungle and surrounding area, King Ukundu was keenly awaiting an opportunity to expand his influence and power. Therefore, upon hearing of the opportunities for blood and glory in this foreign land, he quickly assembled a force of his best warriors and set off on his voyage. Having now arrived on the Perisno mainland and set up an area of operations around Drahara territory in the east, the Ukundu war parties are a menace to smaller armies and their leader is said to patrol the deserts with over five-hundred exotic fighters.^^The Ukundu's army is exceptional for two reasons. The first reason is that it is comprised mostly of women. In the Ukundu culture, men traditionally take the roles of craftsmen and artisans, while women are trained to ride and hunt with sword and spear. Although men tend to be stronger in one-on-one combat, women have a unique talent which is explained by the second reason: the high-tier Ukundu troops ride tigers into battle. The species of tiger endemic to Ukundu jungles are ferocious and swift animals, however they are highly resistant to being ridden by male humans. Even King Ukundu himself must resort to riding the slower (albeit more well-armored) rhino. Only in very rare cases will a male be accepted onto the back of an Ukundu tiger."
ip_ridable_mounts|"특징: 탈것 분포"
ip_ridable_mounts_text|" 말 - 페리스노 전토에서 발견.^ 낙타 - 드라하라에서 발견.^ 코끼리 - 드라하라에서 발견.^ 와이번 - 용의 제국에서 발견.^ 늑대 - 용의 제국에서 발견.^ 라이노 - 일부 도시에서 발견.^ 호랑이 - 일부 도시에서 발견.^ "
ip_credits|"페리스노 제작 팀"
ip_credits_text|"^- Current Perisno Development Team -^^ Michadr^ cwr^ Leonion^ Reus^ Firestorm^ Comrade Crimson^ Pitch Black^ Parcipal^ Syabr^ KonykSoldatyk^ Kesh^ mercury19^^- Previous Perisno Developers & Contributors -^^ Something Unusual^ Abot^ Gsanders^ habeo^ Revspartan^ Silberfalke^ Lord of Shadows^ Melanie Ward^ Dark Hamlet^ Zonnows^ Sinder87^ Largoras^ BrokenPhilosophy^ Matt15wish^ Lor Dric^ Zephilinox^ Tama^ Seoras^ dragos^ Gir Skywatcher^ JustJestering^ Keshan de Montfarah^ Daumor^ Thuro^ DarkGenius^ Lysandros^ Belendor^ Rakrak^ Lucas the Benevolent^ Xsavias^ Gryffindor^ hugrt^ Tpikol^ Knight of Calradia^ Dawn^ KoTuk^ Dark Omega^ Helengar CRiganian^ Friar Fish Fryer^ Mountainlights^^- Open Source Projects & Contributions -^^ Portions of Silverstag by Windyplains^ Portions of Rigale by Cernunos/Cromcrom^ Portions of TLD OSP by TLD Team^ Portions of 1429 : la Guerre de Cent Ans by FantasyWarrior^ Diplomacy 4.3 by Waihti^ Cinematic Compilation by DOMA ^ Native Expansion by soulmata^ Dynamic Troop Trees by Dunde^ Forts by Lumos^ Duel Kit by MartinF^ Female Faces by Corprus^ Modmerger by Sphere^ Battle Mini-map (and more) by Rubik^ Female Faces OSP by Corprus^ Freelancer by Taragoth^ Lor's Horses by Lor Dric^ Expanded Horizons 1.1 by Openshaw^ Utrehd's Castle Pack by Utrehd^ Bridge Battles by Arch3r^ Blood Enhancement Tweak 0.5 by neil v^ Formations AI by Motomaru^ Deathcam by Zephilinox & MadVader^^See the full list of credits on the Perisno board on the TaleWorlds forums."
