
|"undefined"
str_npc5_home_description_2|"."
str_npc6_home_description_2|"."
str_npc7_home_description_2|"."
str_npc8_home_description_2|"."
str_npc9_home_description_2|"."
str_npc10_home_description_2|"."
str_npc11_home_description_2|"."
str_npc12_home_description_2|"."
str_npc13_home_description_2|"."
str_npc14_home_description_2|"."
str_npc15_home_description_2|"."
str_npc16_home_description_2|"."
str_npc1_home_recap|"I'm from the high steppe, near {s21}."
str_npc2_home_recap|"I was born over the mountains.  I'm a merchant, the son of a merchant, and the grandson of a merchant."
str_npc3_home_recap|"I used to live in my father's house in {s20}, but I spent much of my childhood in {s21}."
str_npc4_home_recap|"Our ancestral barony is over the mountains, across the Culdarr pass."
str_npc5_home_recap|"I was born near here."
str_npc6_home_recap|"My family lives in {s21}, but I cannot bear to face them."
str_npc7_home_recap|"I was born in a hovel in the fens, not far from {s21}."
str_npc8_home_recap|"I was born here."
str_npc9_home_recap|"I am from here."
str_npc10_home_recap|"I hope some day to buy land there. But I had a mind to see a bit of the world first, so I took my crossbow and went off to the wars."
str_npc11_home_recap|"I was born in the train of an army, and lived all my days in the train of an army. My folk are from Lesbere, however, so I guess that's as much home to me as anywhere."
str_npc12_home_recap|"I come from overseas. I travel the world in search of medical lore."
str_npc13_home_recap|"Oh, far away from here, my {reg33?lady:lord}, else you would already have heard about me, and would not need to ask such things."
str_npc14_home_recap|"I was not born far from here."
str_npc15_home_recap|"I'm from over the hills. But Perisno is where the money is to be made, these days, if your trade is siegecraft."
str_npc16_home_recap|"I was born near here."
str_npc17_home_recap|"I am one of 5 sons of the great Kuulan."
str_npc1_honorific|"두목"
str_npc2_honorific|"{reg33?부인:경}"
str_npc3_honorific|"{reg33?부인:경}"
str_npc4_honorific|"대장님"
str_npc5_honorific|"{playername}"
str_npc6_honorific|"대장님"
str_npc7_honorific|"대장님"
str_npc8_honorific|"{playername}"
str_npc9_honorific|"선량한 {reg33?아가씨:경}"
str_npc10_honorific|"{reg33?자매님:형제님}"
str_npc11_honorific|"{reg33?아가씨:청년} -- 내 말은, 대장님"
str_npc12_honorific|"대장님"
str_npc13_honorific|"아 용감한 이여"
str_npc14_honorific|"지휘관"
str_npc15_honorific|"대장님"
str_npc16_honorific|"대장님"
str_npc17_honorific|"아타만"
str_npc1_kingsupport_1|"That is a great idea. I will take my leave. I hear there a small ship of men landed from the Klyrintin Empire. Some of them may be persuded to join our cause in spreading the word about your... well greatness. It may be a long shot but it's a differnt angle we can take."
str_npc2_kingsupport_1|"Well, captain -- I will need to talk to the others Jarls. The Volheere could be persuaded to join our cause!"
str_npc3_kingsupport_1|"Well, my lord -- My friends back in Drahara might hear what you have to say. May we unite all the Swiftriders in Perisno!"
str_npc4_kingsupport_1|"Well, captain, Since I no longer have noble support, my rogue knights need someone to follow. Our followers will surely join our cause."
str_npc5_kingsupport_1|"Oh the olden times were... so... Anyway enough of this. I shall visit some old friends and I shall convince them in following you as their rightful king. You may not hear from me for a while."
str_npc6_kingsupport_1|"Just a forthnight ago I had a dream about you becoming King one day! Oh how real it was. Let me loose for a short while and I will make dreams come true! Oh listen to me yip. Let me be of. I shall return soon!"
str_npc7_kingsupport_1|"My Captain, I am certain the nobles in Tolrania will greet your rise to the throne with open arms. If not then we shall slit there throats. What am I thinking, of course they will. I will make sure of it!"
str_npc8_kingsupport_1|"If you gave me permission {playername}, I will spread the word to the ladies of the Hakkon Empire that you will finnaly lead them out of the opressive ways they have endured for so long. We have been looked upon as less for far to long"
str_npc9_kingsupport_1|"I still have some very powerful friends back in Maccavia that I can sway to your claim to the throne. They to have be wronged by Agathor Rex and would long nothing more then they push a spike through a skull, mind my tone. If I have your permission, {reg33?my lady:sir}."
str_npc10_kingsupport_1|"Well, {reg33?Sister:Brother}, I know some traders back in Drahara who would be willing to follow your rule. If you made a few small changes helping us of course."
str_npc11_kingsupport_1|"Hmm... I suppose I could sway some Elven Warriors to fight for your cause. Let me see what I can do."
str_npc12_kingsupport_1|"Your leg wound hasn't healed yet, let me... Oh very well! I shall scour the land and visit my friends and convince them that you are the true king! Maybe you can end this bloodshed for good."
str_npc13_kingsupport_1|"That would be a fine thing, {reg33?brother:sister}! Many is the tale of the hero who has proven his worthiness to wear a crown through valor."
str_npc14_kingsupport_1|"Well,{reg33?my lady:sir}, As a noble from The Reich I can assure you my words won't fall on deaf ears. Let me gallop around from city to city to spread your claim to the throne!"
str_npc15_kingsupport_1|"I know so few people In Perisno. Alas I shall spread your word like I have spread the coming on the Zann! Everyone will want to follow your army in crushing this deadly vermin."
str_npc16_kingsupport_1|"Why not, captain? I'm sure you'd make a fine {reg33?queen/king} -- I shall return to Elintor and speak to close friends."
str_npc17_kingsupport_1|"I cannot promise you anything {playername}, but alas give me some time off. I may be able to muster something."
str_npc1_kingsupport_2|"I only ask that you make a few of my closest allies your personal guards if you do one day become king."
str_npc2_kingsupport_2|"I must tell you the Volheerian warriors have deep pockets. If you do not uphold your end of things in paying them well things might turn sour very quickly. But do not worry I am certain you understand this."
str_npc3_kingsupport_2|"I would, my {reg33?lady:lord}. But I would strongly recommend that you look into backing more draharian warriors in your army, if that suits your taste, {reg33?my lady:sir}."
str_npc4_kingsupport_2|"Of course, {reg33?my lady:captain}. The trick is now to get others to follow you. As you know, one's lineage is a great determinant of one's worthiness. Perhaps you have a long-lost ancestor of whom you have not told me?"
str_npc5_kingsupport_2|"I would. But there is something I should say, on behalf of the Olden Perisno Empire, I pray that you uplhold the old laws once you become king!"
str_npc6_kingsupport_2|"I would. I would tell anyone who listens of your deeds on behalf of the weak and helpless, of your ability to lead men against great odds and triumph, and tell them that if you were to become {king/queen}, there would be one law and one peace -- from the Elven woodlands to the Drache mountains, from the high steppe to the Maccavian shore."
str_npc7_kingsupport_2|"Yes, captain, I would. If you uplhold everthing you promise I can certain you would make a great {reg33?queen:king}."
str_npc8_kingsupport_2|"I would -- on one condition. You'd be in wherever you want to rule, but I'd rule my own hall. And if I had a dispute with any other of your thegns, be it over land, livestock, or blood, you'd let us settle it sword to sword, according to the old ways, and let the heavens decide who is in the right."
str_npc9_kingsupport_2|"I would, {reg33?madame:sir}, and others would too. But here's what I think -- you need to show the noble lords that you won't bend to every little wim. You must show true spirit, and every Meccavian will follow you!"
str_npc10_kingsupport_2|"Certainly, {reg33Sister:Brother}. But I'd ask that you consider a thought of mine. If you became {reg33?queen:king}, then I'd like that you open a order of trading that is protected from the common thieves and bandits. Even if this means a larger force that is accompanying the caravans. As a trader I know firsthand the ruin we can fall into when we get robbed by some savage thieves!"
str_npc11_kingsupport_2|"Of course, I would! My Elven brothers long for Perisno to return as it once was. I feel that you can bring it back..."
str_npc12_kingsupport_2|"Of course, captain.  But if I have learned anything in my travels in this land, Perisno needs a change. A king... one that shows fierce devotion to the throne and care for the commonfolk"
str_npc13_kingsupport_2|"It does not hurt to be the subject of an epic, recited around campfires and hearthfires, describing one's deeds."
str_npc14_kingsupport_2|"I would indeed, sir. I think you can unite this land, and then we'll be able to raise an army such as Perisno has not seen for many generations -- Hakkon lances, Tolraninan archers, Draharian spears, Drache swords, Maccvian axes, and Elintoran archers, and take it over the mountains to subdue all the lands that the Perisno emperors once held sway."
str_npc15_kingsupport_2|"I would. We need a strong Perisno, a strong ruler in order to deafeat the Zann! As we say in Zann, YA WU LAK KAAAK!"
str_npc16_kingsupport_2|"Of course, my {reg33?lady:lord}. Everyone In Elintor shall sing your name. There is one thing I wish to discuss further once the time comes. I wish to continue my noble line with... oh... we shall speak at a later time."
str_npc17_kingsupport_2|"(Kengesh just doesn't, you shouldn't see this line)"
str_npc1_kingsupport_2a|"Please go on..."
str_npc2_kingsupport_2a|"Please continue..."
str_npc3_kingsupport_2a|"Please continue..."
str_npc4_kingsupport_2a|"Of course - let me tell you all about him."
str_npc5_kingsupport_2a|"Please go on..."
str_npc6_kingsupport_2a|"Splendid"
str_npc7_kingsupport_2a|"Well, yes, I will try to keep order..."
str_npc8_kingsupport_2a|"Fair enough"
str_npc9_kingsupport_2a|"That seems sensible enough..."
str_npc10_kingsupport_2a|"Of course - I would give my subjects that right"
str_npc11_kingsupport_2a|"See if you can recall that prophesy."
str_npc12_kingsupport_2a|"Interesting. Please go on..."
str_npc13_kingsupport_2a|"Why, yes, that you are."
str_npc14_kingsupport_2a|"Please go on..."
str_npc15_kingsupport_2a|"Well-spoken, my good man"
str_npc16_kingsupport_2a|"Interesting... Please continue"
str_npc17_kingsupport_2a|"(Kengesh just doesn't, you shouldn't see this line)"
str_npc1_kingsupport_2b|"Well. We saw how that turned out..."
str_npc2_kingsupport_2b|"I do not ask for their support, as they would no doubt wish to make a profit on the transaction. I wish you would have thought more before you acted."
str_npc3_kingsupport_2b|"I have no intention of hobbling myself in that way."
str_npc4_kingsupport_2b|"I will have no part of this."
str_npc5_kingsupport_2b|"I said that I wished to be {reg33?queen:king}, not that I wished to involve myself in the minutiae of nomadism."
str_npc6_kingsupport_2b|"I'm not sure that I can quite deliver all that."
str_npc7_kingsupport_2b|"I think you're maybe taking the idea of the king's peace a bit too far, there."
str_npc8_kingsupport_2b|"That's a pretty tall condition."
str_npc9_kingsupport_2b|"I'm not sure that implementing your idea would be as 'simple' as you think."
str_npc10_kingsupport_2b|"Hmm. Let me think it over."
str_npc11_kingsupport_2b|"Ah... I'll have my hand back, please."
str_npc12_kingsupport_2b|"Enough, sir. I will not have you mock our traditions."
str_npc13_kingsupport_2b|"Hmm. I'm not sure about that."
str_npc14_kingsupport_2b|"Actually, I was looking forward to a bit of rest after becoming {reg33?queen:king}..."
str_npc15_kingsupport_2b|"{reg33?Queen:King} of the Clerks, maybe, Enough of such talk."
str_npc16_kingsupport_2b|"No offense, but I'm not sure that's the approach I'd take."
str_npc17_kingsupport_2b|"(Kengesh just doesn't, you shouldn't see this line)"
str_npc1_kingsupport_3|"If I could go about this land for a few weeks, telling the common folk that you were going to amnesty their kinfolk like the emperors of old -- well, they would start talking of you as the Emperor, and that would pave your way to the throne. Shall I do that, Boss?"
str_npc2_kingsupport_3|"If you like, captain, I can take a few weeks to visit the guildhalls and caravanseries where I have contacts, and explain to them that, in you, they will have a {reg33?ruler:king} who will check the rapacious nobles, who, with their tariffs and taxes, would strangle commerce for the sake of a few extra aurums to spend on their wars and their feasts. What do you say to that, captain?"
str_npc3_kingsupport_3|"If you were to make such a pledge, {reg33?madame:sir}, I think that it would help many of the lords of this land overcome any reluctance that they might have. If your aim is to restore the old Perisnoan system, then arguably you are a more legitimate {reg33?ruler:king} then any of these come-lately usurpers. Give me leave for several weeks, {reg33?madame:sir}, and I will let it be known in the noble courts and merchant houses of this land that you intend to restore their ancient rights."
str_npc4_kingsupport_3|"Yes -- I think I have heard of that line, In fact, I can envision {reg33?her:his} entire genealogy. If you give me leave, 'Majesty', I shall travel about the villages and castles of this realm over the next several weeks, spreading word of your royal birth. Of course, I would hope that you would remember your faithful subject, when it comes to distributing lands..."
str_npc5_kingsupport_3|"Anyway, lord, in these sorry times the men of the great estates have taken to blocking our passage, charging us huge fees to cross. It is a great burden on my people, Bahadur. If I could take a few weeks to let the men of the steppes know that you would support the restoration of our ancient rights, well, then, I think you would find many who would support you as khan, And when men speak of you as khan, that's the first step to becoming one."
str_npc6_kingsupport_3|"Very well. Although I am now a stranger to my family, I have entered many a noble's hall in your train, and I reckon I would be welcome again. I shall go about this land and tell the nobles that when you are {reg33?queen:king}, you will strive your hardest to protect the weak and to crush discord, so that no man will raise his hand against another with impunity, and one day, perhaps, the sin of fraticide will be no more."
str_npc7_kingsupport_3|"I'll tell you what, captain. Give me a few weeks and I'll go to some of these villages -- stinking hovels that they are, but I reckon I can take care of myself these days. I'll tell the people there that once you unify this land, you'll wipe it clean of banditry. You'll erect gallows along the roads and keep them well-stocked with broken-necked thieves, so that every passerby knows that the wages of indecency is death."
str_npc8_kingsupport_3|"Good! Then give me a few weeks and I'll go about the courts of this land, letting it be known that you're a {reg33?ruler:king} who respects the thegns and their ancient rights. You won't go sticking your royal nose where it doesn't belong, and Perisno will be the better for it."
str_npc9_kingsupport_3|"It's perfectly sensible, {reg33?madame:sir} -- and we'll be free of those cursed writs and burghers' petitions and scrolls that take up all of my time and yours, when we should both be out fighting for the glory of your kingdom. Give me leave and I'll spread word among the noble lords of this land that you're here to restore the old ways, and I'll bet there will plenty who will follow you into battle."
str_npc10_kingsupport_3|"Well then, {reg33?Sister:Brother}, give me leave for a few weeks and I can go about this land, letting the common folk know that you will rule justly and equitably, and that lord and common alike should be one before your law. Men will speak of you as {king/queen}, and that's a good start to becoming one..."
str_npc11_kingsupport_3|"I can't recall now, but if you let me go back to my home, I could find an old greybeard who remembers it in full. And, I could put it around that you've got the mark of kings on your hand! There's many where I come from who are waiting for a just ruler, and a man's hands tell all that's worth knowing about him. Give me a few weeks, and I'll reckon I can have quite a few expecting you to be their next {reg33?queen:king}."
str_npc12_kingsupport_3|"But you know what? There was no 'imperial' law when it came to the crown. Sometimes one emperor handed the empire to his son. Sometimes he split it between his generals. Sometimes one emperor murdered the last. There's no right 'Perisnoan' way to crown a {king/king or queen}, and thus it makes sense that the crown should go to the one most fit to govern -- which would be you, naturally. Give me a couple of weeks, and I'll write a tract which proves it and find a copyist to post a version in every town tavern in the land. What do you say to that idea, captain?"
str_npc13_kingsupport_3|"Then give me leave for a few weeks, oh gallant one, and I will spin such a tale as would stir even the dullest heart, inspiring admiration for your virtues, compassion for your hardships, and indignation at those who would stand in your way. I assume, of course, that I would be able to take a certain amount of poetic license with the details?"
str_npc14_kingsupport_3|"Give me leave for a few weeks, {reg33?madame:sir}, and I will let all the worthy men of this land know that you are the one to unite not just Perisno, but all the other Perisnoan dominions. For according to my thinking, no one should be {king/king or queen} here unless they have the capacity to rule the entirety of the realm -- and you alone have demonstrated such a capacity, {reg33?madame:sir}."
str_npc15_kingsupport_3|"I'm glad you think so. Here's what I suggest. I know men in the guilds here, men like me, who've been shafted and shaken down until they can take no more. Here's what I'll tell them -- you're honest. You respect the burghers. You'll pay your debts. You won't beggar your subjects."
str_npc16_kingsupport_3|"Give me leave for a few weeks, and I'll do a little tour of my former employers' castles. I'll sing them a pretty song about what you'll do as {reg33?queen:king}, about all the ancient freedoms you'll restore -- let them rob their tenants and tax the merchants and fight their wars and spend themselves silly without a thought to tomorrow, as a noble ought! What do you say to that, captain?"
str_npc17_kingsupport_3|"(Kengesh just doesn't, you shouldn't see this line)"
str_npc1_intel_mission|"Well, Boss, as it happens, I have a few cousins over in {s17}, and unlike some in my family, they can still stand the sight of me. They deal in horses --- I've even been able to supply them with stock from time to time -- and so they get to pick up a bit of the gossip round the castles and great halls of the {s18}. I could go over there for a few days and tell you what I find out."
str_npc2_intel_mission|"{reg33?My lady:Sir}, if you're interested in events in {s18}, I can still make contact with my old trading partners in {s17}. They're usually well-informed about political events."
str_npc3_intel_mission|"Captain, although I cannot return to my father's house in {s17}, I still may make contact with my sister. She will be privy to the councils of the great merchant houses, and may tell us much about the state of the {s18}."
str_npc4_intel_mission|"Captain, if you could spare me for a few days, I would like to look up an old comrade-in-arms in {s17}, who has from time to time led a small company in the pay of the {s18}. He is a good man, the kind who speaks little and listens much. I'm sure over a drink or two he might let us know which way the political winds are blowing in those parts."
str_npc5_intel_mission|"If you like, {playername}, I can take a few days to visit my mother's sister's people. They work in a caravanserie in {s17}, and hear the news from all across the {s18}. They may have some gossip about the feuds and rivaries of the great lords, if that is of interest to you."
str_npc6_intel_mission|"Captain -- while I am not strictly welcome in {s17}, I would be able to make contact with some former tenants of an estate of mine nearby. I granted them ownership after my abrupt departure, and they are now well-placed in society, and also less inclined than most to hold my crime against me. If you give me a few days, I may be able to collect some interesting information about the {s18}."
str_npc7_intel_mission|"Captain. When I left my former home in {s17}, I had promised myself that I would never return, except for the purposes of taking out vengeance on those who wronged me. Perhaps I was rash. I am occasionally curious as to how my family is getting along. Perhaps I can bring them some gifts, to let them know what I have made of myself! Any rate, they are wretched people, but just as a cringing dog keeps its ear to the wind, so do they. They may have useful information about the {s18}, if you would give me a few days to pay them a visit."
str_npc8_intel_mission|"If you have any interest in the events in the {s18}, a former shield-companion of mine retired and now keeps a farm near {s17}. He keeps in contact with a number of other old warriors. I could visit him for a few days, and learn more about what is going on there."
str_npc9_intel_mission|"{reg33?My lady:Sir} -- it has been some time since I sampled the delights of {s17}, where gentlefolk such as myself are wont to partake of the hospitality of the most puissant and generous lord. If you wish, I could perhaps go there, and let you know something about the concerns that weigh on the minds of the great peers of the {s18}."
str_npc10_intel_mission|"Captain -- I was thinking that some of my old mates in the garrison at {s17} would be glad to see me. They are good lads, and would never betray the city, but like me they have no particular affection for the bluebloods that command them, and may be willing to slip a little political gossip our way. The gentry are always falling out over one little thing or the other, but the lads might be able to know if there's real dissent brewing."
str_npc11_intel_mission|"{reg33?Lassie:Laddie} -- I was thinking that it's been a while since I visited my kinfolk in {s17}. They've been kind enough to me over the years, helping me out during the lean times, so I feel I'd like to share some of my newfound fortune with them. I've also bought wholesale enough times from the Praven grain merchants for them to trust me. I'd reckon they might be persuaded to spill a few tidbits about events in the {s18}, if that would interest you."
str_npc12_intel_mission|"If you wish, Captain, I would not mind taking the time to pay a visit to a pupil of mine, now employed by the lord of {s17}. I had great hopes for him, but I have heard that he has lately endorsed the use of muskmelon for the treatment of palsy, on the grounds that its cold essence offsets an abundance of yellow bile. This is a travesty of medicine, and I must journey there swiftly to correct him. While I am there, if you wish, I could question him on the latest trends within the {s18}, a matter which may interest you."
str_npc13_intel_mission|"Oh valiant one! With your permission, I was thinking that I might pay a visit to the dales near {s17}. I try not to revisit old pastures, but I must confess a certain curiosity as to how a comely shepherdess of my former acquaintance is getting along. On the way, I may attempt to stop in at the castle. I suspect that it would not be terribly difficult for me to charm my way into the lord's hall, and I may be able to provide you with the latest news from the {s18}."
str_npc14_intel_mission|"Captain... As you may know, I helped train the garrison of {s17}. One of their number has lately been in touch with me, and suggests that if I were to visit him, he could pass me information on events within the {s18}. I am willing to do this, if you can spare me. While it is a great disgrace to be a traitor, there is no dishonor in making use of one."
str_npc15_intel_mission|"Captain. As you may know, I have for some time harbored a wish to go to {s17}, and study the masonry -- one of the finest examples of the old Perisnoan style. As it happens, one of my colleagues is currently engaged there doing repair work on the curtain wall. While his sense of professional obligation I think would prevent him, rightfully, from disclosing to me any weaknesses in its defenses, I suspect that he would not be averse to offering up his opinion on the general state of the {s18}, if that is of interest to you."
str_npc16_intel_mission|"Oy, Captain! I had a mind to pay a visit to my old haunts at {s17}. Let's just say that the lord and lady of the place had commissioned a certain service from me, and had been a bit lax about payment. However, a certain sparkly bauble in the lady's possession will fit the bill nicely. I see no need to trouble them by letting them know about my visit, but I could have a wee chat with my old friend the castle steward, who'll be letting me into the place, about goings-on in the {s18}."
str_npc17_intel_mission|"(Kengesh just doesn't, you shouldn't see this line)"
str_npc1_fief_acceptance|"You'd make me lord of {s17}, Boss? Well, that would be the kindest thing that anyone has ever done for me in a long time. Heh. I'll make the most of it -- you can count on that. I have to say, though -- I'm not sure how the other lords of this realm will react, when they find old Borcha in their august company."
str_npc2_fief_acceptance|"{s17} as a fief? Well, I've always thought in terms of buying and selling goods, not in terms of governing anything. But now that you mention it, I bet I could make that place turn a fair bit of revenue. I thank you, {my Lord/my lady} -- this is a very kind turn that you have done me."
str_npc3_fief_acceptance|"{reg33?My lady:Sire}, it is most generous of you to offer me {s17}. I would be pleased to hold it, and dedicate myself to the moral and material uplift of its inhabitants."
str_npc4_fief_acceptance|"It is good of you to grant me {s17} as a fief -- and most appropriate. Proud indeed is the king who has a baron of the House of Rolf as {his/her} vassal."
str_npc5_fief_acceptance|"Bahadur -- I would be most pleased to hold {s17}. I will send word to the hills, to my kinsmen, and let them know that there is honorable gold to be earned serving under me in your armies -- and they will come flocking to fight for you!"
str_npc6_fief_acceptance|"{reg33?Lady:Sire} -- I am surprised that you find me worthy to govern men, as I am just beginning to learn to govern myself. But if you indeed wish it, I would be most honored to hold {s17} in your name, and dedicate myself to the protection of those who live there."
str_npc7_fief_acceptance|"Aye, I'll hold {s17} -- and give it a reputation that strikes fear in the hearts of thieves and brigands across Perisno. Thank you, {sire/madame}, for this opportunity."
str_npc8_fief_acceptance|"You'd make me a thegn? Well, I suppose that I can postpone reclaiming my inheritance for a little while longer, and make my great hall at {s17}. Some day, I may travel over the seas to take back what is mine, but until then, I would be pleased to raise a band of battle-hardened Nords to fight under your banner."
str_npc9_fief_acceptance|"{reg33?My lady:Sire}, I was cheated of my inheritance -- but now, with this offer of this estate, you make right what was wrong. It would give me the greatest honor to serve you, to fight for you, and to hold this land in fief to you."
str_npc10_fief_acceptance|"You'd make me a lord? Well, no thank you -- but if you would call me 'tribune' -- the tribunes being the people's servants in the old times -- then I suppose I could bring myself to run {s17} for you. I'd put food in the bellies of the hungry, and raise a fine force of Elven archers to fight on your behalf, {Brother/Sister}. But I can't promise that the real blue-bloods will enjoy rubbing shoulders with me in your councils."
str_npc11_fief_acceptance|"Ay! You'd grant old Katrin a title of nobility? Well, I'd be daft to turn you down, now wouldn't I? My, the strange turns that life takes... Fancy this old bag of bones becoming a great peer of the realm of Perisno."
str_npc12_fief_acceptance|"Well, {reg33?my lady:sire}, I'd have you know that don't believe in the holding of land in fief to the king. Farmers and landholders should govern their own affairs, under the distant watch of the sovereign. That being said, Perisno has seen far too much bloodshed for us to turn the social order on its head right now. Give me that land, and I'll endeavor to prepare it for a brighter future -- if not in this generation, than perhaps in the next."
str_npc13_fief_acceptance|"How generous of you, captain! You and I have traveled Perisno, and I come out of this as a lord! I may bring a few warriors of Hylr into my retinue as well, so that we may stay true to our roots."
str_npc14_fief_acceptance|"You do me a great honor, captain. In Geroia, a youngest son such as myself has few opportunities to earn a fief of his own. But here, in Perisno, there is still the chance for a man to win with his sword what was denied him by his birth! I shall hold {s17} as your vassal, and raise an army to fight for your glory and for mine."
str_npc15_fief_acceptance|"Well, {reg33?my lady:sire}, that's a gracious act, and marks you as the kind of monarch who can save this sorry land from the incompetence of the current batch. I suspect a lot of the noble lords around here will think that a commoner like me isn't fit to hold a fief. Well, when they see what I do with it, and what revenues I can bring in, they'll change their tune!"
str_npc16_fief_acceptance|"Oh, that's most generous of you, {reg33?my lady:sire}. I've been in and out of many a great hall or manor -- not always with the master's permission, I should add -- but I never thought I'd own one myself. Let me think... When I collect my first year's rents, what baubles shall I buy myself?"
str_npc17_fief_acceptance|"You're granting me a fief? This is very kind of you. Thank you, I'll do my best to help your kingdom and its people."
str_npc3_woman_to_woman|"My lady, if you don't mind me saying -- I think by now you have proven yourself to be one of the great warriors of this realm. Yet strangely, no king has come forward to offer you a fief. Perhaps it is because you are a woman. No matter -- I personally believe that you will take your place among the great lords of this realm, even if you have to fight twice as long and twice as hard to receive your due!"
str_npc7_woman_to_woman|"Captain. If you don't mind me saying, you have fought long and hard against the scum of Perisno, and with their defeat, you make this land a better place. You are well deserving of a fief of your own -- and I suspect that if you were not a woman, a king would have offered you one by now. That is the way of the men in this sorry land: they let us stand in the front of the battleline to take the enemy's blows, but when it comes to a division of the spoils, they expect us to head to the rear."
str_npc8_woman_to_woman|"Excuse me, {playername}. I would like to offer you my congratulations -- it seems that you are well on your way to making a name for yourself as a warrior to be feared. If you were a man, I suspect the kings of this land would be falling over themselves to make you their vassal. Alas, in this world, women like ourselves must fight twice as hard to receive what is only our due."
str_npc11_woman_to_woman|"Aye, lassie, I just can't help thinking to myself -- you've made quite a name for yourself, haven't you? Fighting and marching up and down the length of the land. Why, I suspect if you were a man, some king would have offered you a fief by now. Well, you may still get what you deserve -- you'll just have to prove yourself a bit more."
str_npc16_woman_to_woman|"Oy, Captain -- if you don't mind me saying, you've made quite a name for yourself in these parts. I suspect that if you were a man, a king would have offered you a fief by now. But we ladies should come to expect things like that. Men will find any excuse not to reward us for our work, so if we take a fancy to a bit of land somewhere, maybe we should just reach out and take it. That's the way I look at the world, anyway."
str_comment_intro_liege_affiliated|"그대가 페리스노의 왕관을 주장하는 짐에게 반론하여 분쟁을 일으키는 거짓말쟁이 중 한 명에게 맹세했다는 소식을 들었다. 그러나 우리는 여전히 대화를 나누어볼 수 있겠지."
str_comment_intro_famous_liege|"자네의 명성이 자네보다 더 빨리 퍼진다네! 어쩌면 이번이 자네의 용기에 부합한 군주를 찾는, 그 때인지도 모르겠군."
str_comment_intro_famous_martial|"자네의 명성이 자네보다 더 빨리 퍼진다네! 어쩌면 우리가 각자의 용기를 토너먼트나 전장에서 테스트해 볼 기회가 있을지도 모르겠네."
str_comment_intro_famous_badtempered|"자네에 대해서 들어봤다네. 글쎄, 나는 말에 휘둘리는 사람이 아니니, 만약 뭔가를 말하고자 왔다면, 그에 대해서는 접어두게."
str_comment_intro_famous_pitiless|"당신의 이름을 알고 있지. 그것은 사람들의 마음에서 두려움을 느끼게 하는군. 좋소. 언제 우리 함께 대화를 해보도록 하지."
str_comment_intro_famous_cunning|"아하, 그래. 결국 우리가 만나는군. 그대는 좋은 {reg33?여자:남자}같이 들렸지. 언젠가 우리 함께 대화를 해보세."
str_comment_intro_famous_sadistic|"내 당신의 이름을 알고 있지 -- 그리고 내가 들은 것 중에서, 나는 몹시 슬퍼하고 있는 많은 미망인들 또한 당신을 알고 있다고 보증하겠네. 그러나 내가 상관할 바가 아니지."
str_comment_intro_famous_goodnatured|"난 그대에 대해 들었네! 그대를 만나게 된건 매우 좋은일이로군."
str_comment_intro_famous_upstanding|"나는 당신의 이름을 알고 있지. 세상 사람들은 당신이 가장 용감한 군인이라고 말하더군. 나는 당신의 명예와 자비가 당신의 용기와 일치하기를 바랄 뿐이야."
str_comment_intro_noble_liege|"나는 그대가 {reg33?귀족의:고귀한} 깃발을 내걸고 있음을 알고 있지만, 그 유례는 모르겠군. 나는 항상 내 신뢰에 응답해 싸울 좋은 {사람/전사들}을 찾고 있다는 것을 기억하시오."
str_comment_intro_noble_martial|"그대가 귀족의 깃발을 걸고 다니는 것을 보았지만, 그 깃발의 유례는 모르겠군. 상관 없지 -- 용감한 {reg33?전사들:남자들}의 집은 전 세계에 있으며, 실로 그러하니!"
str_comment_intro_noble_badtempered|"그대의 깃발의 유례를 모르겠군. 우리 땅에는 이미 많은 사람들이 있지만, 더 많은 사람들이 우리 땅으로 들어올 것이라는 것은 의심의 여지가 없지."
str_comment_intro_noble_pitiless|"그대가 귀족의 깃발을 걸고 다니는 것을 보았지만, 그 깃발의 유례는 모르겠군. 또 다른 독수리가 전장의 남은 찌꺼기로 살을 찌으려 하는군. 의심의 여지가 없지!"
str_comment_intro_noble_cunning|"그대가 귀족의 깃발을 들고 다니는 것을 보았지만, 그 유례는 모르겠구려. 여전히, 언젠가 훌륭한 전사가 될 수 있는 {reg33?여자:남자}와 친분을 쌓는 것은 가치가 있는 일이지."
str_comment_intro_noble_sadistic|"그대가 귀족의 깃발을 걸고 다니는 것을 보았지만, 그 깃발의 유례는 모르겠군. 아마도 그대는 서자의 {reg33?딸:아들}인 것 같네만? 아니면 깃발을 훔치셨나?"
str_comment_intro_noble_goodnatured|"그대가 귀족의 깃발을 들고 다니느 것을 보았지만, 나는 그 유례를 모르겠구려. 내 무지를 용서해 주시오, {reg33?아가씨:경}! 당신과 친분을 쌓고 싶군."
str_comment_intro_noble_upstanding|"그대가 귀족의 깃발을 걸고 다니는 것을 보았지만, 그 깃발의 유례는 모르겠군. 부와 영광을 위해 페리스노에 왔나보군. 그것이 사실이라면, 전쟁의 길에서 잡힌 가난한 영혼들에게 당신이 자비를 베풀 것을 요구하리다."
str_comment_intro_common_liege|"그대는 평범한 태생일지도 모르지만, 그들이 내 신뢰를 얻을 수 있다는 것을 증명할 수 있다면, 나는 항상 나를 위해 싸울 좋은 사람들을 찾고 있다는 것을 명심하게."
